"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Manitoba","Impaired operation, failure to provide breath sample",199.00,17.34,167.00,0.00
"Manitoba","Manslaughter",5.00,0.44,8.00,0.00
"Manitoba","Possession, cocaine",84.00,7.32,69.00,3.00
"Manitoba","Other related violations causing death",2.00,0.17,1.00,0.00
"Manitoba","Dangerous operation of motor vehicle, vessel or aircraft",145.00,12.64,86.00,0.00
"Manitoba","Offensive weapons, restricted",0.00,0.00,0.00,0.00
"Manitoba","Shoplifting $5,000 or under",3256.00,283.78,1384.00,808.00
"Manitoba","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",115.00,10.02,5.00,1.00
"Manitoba","Dangerous operation evading police, causing death",0.00,0.00,0.00,0.00
"Manitoba","Fail to comply with order",5017.00,437.26,3308.00,653.00
"Manitoba","Total, all violations",134399.00,11713.63,28059.00,8065.00
"Manitoba","Firearm transfers or serial numbers",3.00,0.26,0.00,0.00
"Manitoba","Other Controlled Drugs and Substances Act, importation and exportation",6.00,0.52,2.00,0.00
"Manitoba","Arson",742.00,64.67,53.00,69.00
"Manitoba","Possession, cannabis",1030.00,89.77,527.00,198.00
"Manitoba","Breach of probation",2828.00,246.48,1024.00,115.00
"Manitoba","Total drug violations",2099.00,182.94,1220.00,272.00
"Manitoba","Prisoner unlawfully at large",167.00,14.55,103.00,48.00
"Manitoba","Assault, level 3, aggravated",179.00,15.60,144.00,42.00
"Manitoba","Cocaine, importation and exportation",1.00,0.09,0.00,0.00
"Manitoba","Customs Act",67.00,5.84,3.00,0.00
"Manitoba","Dangerous operation evading police, causing bodily harm",2.00,0.17,0.00,0.00
"Manitoba","Offences against public order (Part II Criminal Code)",91.00,7.93,15.00,8.00
"Manitoba","Cannabis, production",118.00,10.28,82.00,7.00
"Manitoba","Total, all Criminal Code violations (excluding traffic)",123665.00,10778.10,22738.00,7128.00
"Manitoba","Dangerous operation of motor vehicle evading police",15.00,1.31,10.00,0.00
"Manitoba","Indecent/Harassing communications",1493.00,130.12,57.00,19.00
"Manitoba","Obstruct public or peace officer",125.00,10.89,68.00,14.00
"Manitoba","Procuring",3.00,0.26,1.00,0.00
"Manitoba","Other federal statutes",854.00,74.43,259.00,5.00
"Manitoba","All other Criminal Code (includes Part XII.1 Criminal Code)",72.00,6.28,14.00,0.00
"Manitoba","Firearms Act",57.00,4.97,1.00,0.00
"Manitoba","Hostage-taking",0.00,0.00,0.00,0.00
"Manitoba","Sexual interference",0,0,0,0
"Manitoba","Total prostitution",273.00,23.79,204.00,17.00
"Manitoba","Total theft under $5,000 (non-motor vehicle)",27163.00,2367.41,2171.00,1285.00
"Manitoba","Total breaking and entering",14213.00,1238.74,1119.00,973.00
"Manitoba","Dangerous operation, causing bodily harm",38.00,3.31,21.00,0.00
"Manitoba","Indecent acts",279.00,24.32,35.00,5.00
"Manitoba","Canada Health Act",21.00,1.83,0.00,0.00
"Manitoba","Total, all Criminal Code violations (including traffic)",128047.00,11160.02,26176.00,7164.00
"Manitoba","Total Criminal Code traffic violations",4382.00,381.92,3438.00,36.00
"Manitoba","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",154.00,13.42,31.00,4.00
"Manitoba","Total Immigration and Refugee Protection Act",29.00,2.53,19.00,0.00
"Manitoba","Bankruptcy Act",2.00,0.17,0.00,0.00
"Manitoba","Total cocaine, trafficking, production or distribution",175.00,15.25,168.00,11.00
"Manitoba","Total forcible confinement or kidnapping",74.00,6.45,71.00,3.00
"Manitoba","Cannabis, importation and exportation",10.00,0.87,6.00,0.00
"Manitoba","Theft over $5,000 from a motor vehicle",93.00,8.11,6.00,2.00
"Manitoba","Mischief",22246.00,1938.86,656.00,520.00
"Manitoba","Disturb the peace",4028.00,351.06,152.00,41.00
"Manitoba","Invasion of privacy (Part VI Criminal Code)",0.00,0.00,0.00,0.00
"Manitoba","Dangerous operation, causing death",7.00,0.61,4.00,0.00
"Manitoba","Uttering threats",5460.00,475.87,1339.00,324.00
"Manitoba","Other sexual violations",106.00,9.24,36.00,11.00
"Manitoba","Impaired operation of motor vehicle, vessel or aircraft",3158.00,275.24,2728.00,0.00
"Manitoba","Total other violations",1382.00,120.45,255.00,103.00
"Manitoba","Offences against rights of property (Part IX Criminal Code)",138.00,12.03,74.00,56.00
"Manitoba","Canada Shipping Act",19.00,1.66,1.00,0.00
"Manitoba","Fraud",2473.00,215.54,785.00,87.00
"Manitoba","Possession of weapons",476.00,41.49,218.00,120.00
"Manitoba","Extortion",88.00,7.67,27.00,6.00
"Manitoba","Other violent violations",26.00,2.27,4.00,1.00
"Manitoba","Total other assaults",159.00,13.86,66.00,9.00
"Manitoba","Other prostitution",269.00,23.44,202.00,16.00
"Manitoba","Total administration of justice violations",9579.00,834.86,5332.00,959.00
