"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Abbotsford-Mission, British Columbia","Procuring",13.00,8.39,21.00,0.00
"Abbotsford-Mission, British Columbia","Abduction under age 14, by parent or guardian",0.00,0.00,0.00,0.00
"Abbotsford-Mission, British Columbia","Sexual interference",0,0,0,0
"Abbotsford-Mission, British Columbia","Extortion",15.00,9.68,3.00,0.00
"Abbotsford-Mission, British Columbia","Sexual assault, level 2, weapon or bodily harm",0.00,0.00,0.00,0.00
"Abbotsford-Mission, British Columbia","Impaired operation, causing death",0,0,0,0
"Abbotsford-Mission, British Columbia","Invitation to sexual touching",0.00,0.00,0,0
"Abbotsford-Mission, British Columbia","Other Controlled Drugs and Substances Act, importation and exportation",4.00,2.58,8.00,0.00
"Abbotsford-Mission, British Columbia","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Abbotsford-Mission, British Columbia","Indecent acts",44.00,28.39,7.00,0.00
"Abbotsford-Mission, British Columbia","Criminal negligence causing bodily harm",2.00,1.29,0.00,0.00
"Abbotsford-Mission, British Columbia","Total weapons violations",104.00,67.10,36.00,7.00
"Abbotsford-Mission, British Columbia","Total abduction",8.00,5.16,3.00,0.00
"Abbotsford-Mission, British Columbia","Other offensive weapons",4.00,2.58,0.00,1.00
"Abbotsford-Mission, British Columbia","Impaired operation, causing bodily harm",5.00,3.23,4.00,0.00
"Abbotsford-Mission, British Columbia","Impaired operation, failure to provide breath sample",11.00,7.10,10.00,0.00
"Abbotsford-Mission, British Columbia","Heroin, trafficking",6.00,3.87,8.00,0.00
"Abbotsford-Mission, British Columbia","Heroin, possession",13.00,8.39,2.00,0.00
"Abbotsford-Mission, British Columbia","Obtains or communicates with a person under age 18 for purpose of sex",12.00,7.74,6.00,0.00
"Abbotsford-Mission, British Columbia","Shoplifting $5,000 or under",698.00,450.32,345.00,78.00
"Abbotsford-Mission, British Columbia","Other prostitution",22.00,14.19,0.00,0.00
"Abbotsford-Mission, British Columbia","Assault, level 3, aggravated",9.00,5.81,7.00,0.00
"Abbotsford-Mission, British Columbia","Total forcible confinement or kidnapping",4.00,2.58,1.00,1.00
"Abbotsford-Mission, British Columbia","Dangerous operation evading police, causing death",0.00,0.00,0.00,0.00
