"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Toronto, Ontario","Impaired operation, causing death",6.00,0.10,6.00,0.00
"Toronto, Ontario","Anal intercourse",0.00,0.00,0.00,0.00
"Toronto, Ontario","Impaired operation, causing bodily harm",25.00,0.43,23.00,0.00
"Toronto, Ontario","Sexual assault, level 3, aggravated",13.00,0.22,11.00,0.00
"Toronto, Ontario","Total Criminal Code traffic violations",12953.00,222.29,7032.00,73.00
"Toronto, Ontario","Harbour or conceal terrorist",0.00,0.00,0.00,0.00
"Toronto, Ontario","Dangerous operation, causing bodily harm",55.00,0.94,49.00,3.00
"Toronto, Ontario","Total weapons violations",1323.00,22.70,729.00,215.00
"Toronto, Ontario","Possession, cannabis",7332.00,125.83,4014.00,602.00
"Toronto, Ontario","Total other violations causing death",9.00,0.15,8.00,0.00
"Toronto, Ontario","Methylenedioxyamphetamine (ecstasy), trafficking",12.00,0.21,12.00,0.00
"Toronto, Ontario","Procuring - person under 18 years",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total other violations",2007.00,34.44,988.00,109.00
"Toronto, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",929.00,15.94,805.00,38.00
"Toronto, Ontario","Sexual interference",111.00,1.90,22.00,5.00
"Toronto, Ontario","Fail to comply with order",5553.00,95.30,4099.00,758.00
"Toronto, Ontario","Offences against public order (Part II Criminal Code)",51.00,0.88,25.00,1.00
"Toronto, Ontario","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"Toronto, Ontario","Corrupting morals of a child",0.00,0.00,0.00,0.00
"Toronto, Ontario","Criminal harassment",3422.00,58.73,1046.00,57.00
"Toronto, Ontario","Cannabis, production",148.00,2.54,45.00,1.00
"Toronto, Ontario","Living off the avails of prostitution of a person under age 18",12.00,0.21,19.00,1.00
"Toronto, Ontario","Discharge firearm with intent",124.00,2.13,15.00,4.00
"Toronto, Ontario","Conspire to commit murder",9.00,0.15,0.00,0.00
"Toronto, Ontario","Methylenedioxyamphetamine (ecstasy), importation and exportation",4.00,0.07,0.00,0.00
"Toronto, Ontario","Total property crime violations",121833.00,2090.82,17472.00,2176.00
"Toronto, Ontario","Offensive weapons, restricted",0.00,0.00,0.00,0.00
"Toronto, Ontario","Leaving Canada to participate in activity of terrorist group",0.00,0.00,0.00,0.00
"Toronto, Ontario","Robbery to steal a firearm",2.00,0.03,1.00,0.00
"Toronto, Ontario","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",113.00,1.94,41.00,6.00
"Toronto, Ontario","Fail to appear",1683.00,28.88,1407.00,123.00
"Toronto, Ontario","Customs Act",14.00,0.24,1.00,0.00
"Toronto, Ontario","Other prostitution",27.00,0.46,16.00,0.00
"Toronto, Ontario","Competition Act",0.00,0.00,0.00,0.00
"Toronto, Ontario","Voyeurism",93.00,1.60,40.00,2.00
"Toronto, Ontario","Proceeds of crime (Part XII.2 Criminal Code)",76.00,1.30,4.00,0.00
"Toronto, Ontario","Total forcible confinement or kidnapping",364.00,6.25,300.00,23.00
"Toronto, Ontario","Householder permitting illegal sexual activity: person under the age of 16 years",0,0,0,0
"Toronto, Ontario","All other Criminal Code (includes Part XII.1 Criminal Code)",83.00,1.42,95.00,0.00
"Toronto, Ontario","Heroin, possession",151.00,2.59,184.00,1.00
"Toronto, Ontario","Total, all Criminal Code violations (excluding traffic)",184424.00,3164.96,47175.00,6300.00
"Toronto, Ontario","Murder, second degree",32.00,0.55,23.00,1.00
"Toronto, Ontario","National Defence Act",0.00,0.00,0.00,0.00
"Toronto, Ontario","Forcible confinement",329.00,5.65,263.00,18.00
"Toronto, Ontario","Dangerous operation of motor vehicle evading police",124.00,2.13,51.00,3.00
"Toronto, Ontario","Total theft of motor vehicle",7666.00,131.56,239.00,56.00
"Toronto, Ontario","Counterfeiting",33.00,0.57,23.00,3.00
"Toronto, Ontario","Canada Shipping Act",140.00,2.40,68.00,7.00
"Toronto, Ontario","Attempted murder",155.00,2.66,88.00,7.00
"Toronto, Ontario","Impaired operation (drugs), causing death",0.00,0.00,0.00,0.00
"Toronto, Ontario","Forcible confinement or kidnapping",3.00,0.05,1.00,0.00
"Toronto, Ontario","Assault, level 1",17173.00,294.71,8419.00,758.00
"Toronto, Ontario","Commission or instructing to carry out terrorist activity",0.00,0.00,0.00,0.00
"Toronto, Ontario","Methamphetamines (crystal meth), possession",66.00,1.13,64.00,0.00
"Toronto, Ontario","Invasion of privacy (Part VI Criminal Code)",5.00,0.09,1.00,0.00
"Toronto, Ontario","Total other violent violations",306.00,5.25,141.00,16.00
"Toronto, Ontario","Leaving Canada to commit offence for terrorist group",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total violent Criminal Code violations",47575.00,816.45,19275.00,2835.00
"Toronto, Ontario","Total theft under $5,000 (non-motor vehicle)",64059.00,1099.34,9508.00,1099.00
"Toronto, Ontario","Total, all violations",211185.00,3624.22,63960.00,7530.00
"Toronto, Ontario","Total cocaine, trafficking, production or distribution",1365.00,23.43,1685.00,73.00
"Toronto, Ontario","Total impaired driving",5868.00,100.70,5589.00,19.00
"Toronto, Ontario","Firearms documentation or administration",54.00,0.93,0.00,0.00
"Toronto, Ontario","Common Bawdy House",0,0,0,0
"Toronto, Ontario","Methamphetamines (crystal meth), importation and exportation",1.00,0.02,0.00,0.00
"Toronto, Ontario","Dangerous operation, causing death",5.00,0.09,3.00,1.00
"Toronto, Ontario","Total, all Criminal Code violations (including traffic)",197377.00,3387.25,54207.00,6373.00
"Toronto, Ontario","Using firearm in commission of offence",22.00,0.38,13.00,4.00
"Toronto, Ontario","Cocaine, production",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total robbery",6897.00,118.36,1347.00,1117.00
"Toronto, Ontario","Making sexually explicit material available to children",0.00,0.00,0.00,0.00
"Toronto, Ontario","Prisoner unlawfully at large",549.00,9.42,255.00,3.00
"Toronto, Ontario","Theft over $5,000 from a motor vehicle",392.00,6.73,11.00,1.00
"Toronto, Ontario","Total abduction",32.00,0.55,13.00,1.00
"Toronto, Ontario","Total sexual violations against children",219.00,3.76,60.00,9.00
"Toronto, Ontario","Receive material benefit from sexual services provided by a person under 18 years",0.00,0.00,0.00,0.00
"Toronto, Ontario","Failure to comply or refusal (drugs)",0.00,0.00,0.00,0.00
"Toronto, Ontario","Mischief in relation to cultural property",0.00,0.00,0.00,0.00
"Toronto, Ontario","Weapons trafficking",13.00,0.22,8.00,1.00
"Toronto, Ontario","Offensive weapons, explosives",7.00,0.12,0.00,1.00
"Toronto, Ontario","Firearms Act",45.00,0.77,2.00,0.00
"Toronto, Ontario","Theft over $5,000",1418.00,24.33,134.00,10.00
"Toronto, Ontario","Total trafficking in stolen property",54.00,0.93,48.00,19.00
"Toronto, Ontario","Income Tax Act",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total firearms, use of, discharge, pointing",261.00,4.48,66.00,14.00
"Toronto, Ontario","Total assaults against a peace officer",1065.00,18.28,682.00,58.00
"Toronto, Ontario","Participate in activities of criminal organization",0.00,0.00,0.00,0.00
"Toronto, Ontario","Sexual assault, level 1",2709.00,46.49,935.00,122.00
"Toronto, Ontario","Possession of weapons",1118.00,19.19,621.00,196.00
"Toronto, Ontario","Theft $5,000 or under",28428.00,487.86,1235.00,240.00
"Toronto, Ontario","Other assaults",1055.00,18.11,698.00,57.00
"Toronto, Ontario","Advocating genocide",0.00,0.00,0.00,0.00
"Toronto, Ontario","Murder, first degree",47.00,0.81,32.00,3.00
"Toronto, Ontario","Methamphetamines (crystal meth), production",6.00,0.10,0.00,0.00
"Toronto, Ontario","Mischief to religious property motivated by hate",8.00,0.14,0.00,0.00
"Toronto, Ontario","Total cannabis, trafficking, production or distribution",1272.00,21.83,1137.00,221.00
"Toronto, Ontario","Robbery",6895.00,118.33,1346.00,1117.00
"Toronto, Ontario","Heroin, production",0.00,0.00,0.00,0.00
"Toronto, Ontario","Shoplifting over $5,000",47.00,0.81,19.00,2.00
"Toronto, Ontario","Kidnapping",32.00,0.55,36.00,5.00
"Toronto, Ontario","Methylenedioxyamphetamine (ecstasy), possession",18.00,0.31,13.00,4.00
"Toronto, Ontario","Cannabis, trafficking",1046.00,17.95,1072.00,220.00
"Toronto, Ontario","Gaming house",1.00,0.02,0.00,0.00
"Toronto, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",91.00,1.56,84.00,1.00
"Toronto, Ontario","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",13.00,0.22,3.00,0.00
"Toronto, Ontario","Assault, level 3, aggravated",422.00,7.24,275.00,33.00
"Toronto, Ontario","Other related violations causing death",0.00,0.00,0.00,0.00
"Toronto, Ontario","Bawdy house",31.00,0.53,13.00,0.00
"Toronto, Ontario","Abduction under the age 16",5.00,0.09,0.00,0.00
"Toronto, Ontario","Abduction under the age 14 contravening a custody order",6.00,0.10,2.00,0.00
"Toronto, Ontario","Total Federal Statute violations",13808.00,236.96,9753.00,1157.00
"Toronto, Ontario","Obtaining sexual services for consideration",0.00,0.00,0.00,0.00
"Toronto, Ontario","Utter threats to property or animal",152.00,2.61,41.00,4.00
"Toronto, Ontario","Sexual Exploitation of a person with a disability",4.00,0.07,0.00,0.00
"Toronto, Ontario","Breach of probation",2761.00,47.38,2362.00,27.00
"Toronto, Ontario","Assault, level 2, weapon or bodily harm",5559.00,95.40,3417.00,354.00
"Toronto, Ontario","Freezing of property, disclosure or audit",0.00,0.00,0.00,0.00
"Toronto, Ontario","Mischief",17405.00,298.69,1697.00,314.00
"Toronto, Ontario","Communicating to provide sexual services for consideration",0.00,0.00,0.00,0.00
"Toronto, Ontario","Receive material benefit from sexual services",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total other Criminal Code traffic violations",7085.00,121.59,1443.00,54.00
"Toronto, Ontario","Identity fraud",788.00,13.52,102.00,5.00
"Toronto, Ontario","Criminal negligence causing bodily harm",31.00,0.53,14.00,0.00
"Toronto, Ontario","Excise Act",63.00,1.08,16.00,0.00
"Toronto, Ontario","Trap likely to or causing bodily harm",3.00,0.05,0.00,0.00
"Toronto, Ontario","Total other Criminal Code violations",15016.00,257.69,10428.00,1289.00
"Toronto, Ontario","Indecent/Harassing communications",1704.00,29.24,37.00,0.00
"Toronto, Ontario","Abduction under age 14, by parent or guardian",6.00,0.10,1.00,0.00
"Toronto, Ontario","Leaving Canada to facilitate terrorist activity",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total Immigration and Refugee Protection Act",364.00,6.25,347.00,5.00
"Toronto, Ontario","Attempts, conspiracies, accessories (Part XIII Criminal Code)",85.00,1.46,50.00,7.00
"Toronto, Ontario","Bankruptcy Act",23.00,0.39,2.00,0.00
"Toronto, Ontario","Procuring",29.00,0.50,11.00,0.00
"Toronto, Ontario","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Toronto, Ontario","Break and enter to steal a firearm from a motor vehicle",4.00,0.07,0.00,0.00
"Toronto, Ontario","Heroin, trafficking",176.00,3.02,265.00,2.00
"Toronto, Ontario","Disorderly houses, gaming and betting",0,0,0,0
"Toronto, Ontario","Driving while prohibited",403.00,6.92,384.00,1.00
"Toronto, Ontario","Pointing a firearm",115.00,1.97,38.00,6.00
"Toronto, Ontario","Total other assaults",1088.00,18.67,714.00,57.00
"Toronto, Ontario","Intimidation of a justice system participant or a journalist",25.00,0.43,15.00,7.00
"Toronto, Ontario","Heroin, importation and exportation",48.00,0.82,9.00,0.00
"Toronto, Ontario","Arson",511.00,8.77,32.00,18.00
"Toronto, Ontario","Hostage-taking",3.00,0.05,1.00,0.00
"Toronto, Ontario","Other violations related to gaming and betting",18.00,0.31,3.00,0.00
"Toronto, Ontario","Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to any punishment other than life",0.00,0.00,0.00,0.00
"Toronto, Ontario","Dangerous operation causing bodily harm while street racing",1.00,0.02,0.00,0.00
"Toronto, Ontario","Offences against rights of property (Part IX Criminal Code)",222.00,3.81,192.00,40.00
"Toronto, Ontario","Parent or guardian procuring sexual activity: person procured under the age of 16 years",0,0,0,0
"Toronto, Ontario","Youth Criminal Justice Act",317.00,5.44,91.00,176.00
"Toronto, Ontario","Bestiality, commit or compel person",0.00,0.00,0.00,0.00
"Toronto, Ontario","Total commodification of sexual activity violations",0.00,0.00,0.00,0.00
"Toronto, Ontario","Impaired operation, failure to provide blood sample",0.00,0.00,0.00,0.00
"Toronto, Ontario","Criminal negligence causing death",9.00,0.15,8.00,0.00
"Toronto, Ontario","Other violations against the administration of law and justice (Part IV Criminal Code)",562.00,9.64,330.00,27.00
"Toronto, Ontario","Canada Health Act",0.00,0.00,0.00,0.00
"Toronto, Ontario","Dangerous operation evading police, causing death",0.00,0.00,0.00,0.00
"Toronto, Ontario","Obtains or communicates with a person under age 18 for purpose of sex",5.00,0.09,3.00,0.00
"Toronto, Ontario","Parent or guardian procuring sexual activity",0.00,0.00,0.00,0.00
"Toronto, Ontario","Breaking and entering",15096.00,259.07,1389.00,329.00
"Toronto, Ontario","Manslaughter",2.00,0.03,1.00,0.00
"Toronto, Ontario","Instruct offence for criminal organization",4.00,0.07,30.00,0.00
"Toronto, Ontario","Homicide",81.00,1.39,56.00,4.00
"Toronto, Ontario","Causing bodily harm by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Toronto, Ontario","Identity theft",221.00,3.79,8.00,0.00
"Toronto, Ontario","Failure to provide blood sample (drugs)",0.00,0.00,0.00,0.00
"Toronto, Ontario","Other sexual violations",0.00,0.00,0.00,0.00
"Toronto, Ontario","Fraud",12283.00,210.79,2861.00,69.00
"Toronto, Ontario","Trafficking in persons",23.00,0.39,19.00,1.00
"Toronto, Ontario","Luring a child via a computer",41.00,0.70,14.00,0.00
"Toronto, Ontario","Other Controlled Drugs and Substances Act, possession",479.00,8.22,407.00,20.00
"Toronto, Ontario","Other federal statutes",205.00,3.52,35.00,0.00
