"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Manitoba","Sexual assault, level 2, weapon or bodily harm",21.00,1.74,10.00,1.00
"Manitoba","Removal of children from Canada",0.00,0.00,0.00,0.00
"Manitoba","Firearms and other offensive weapons (Part III Criminal Code)",203.00,16.80,17.00,4.00
"Manitoba","Causing bodily harm by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Manitoba","Homicide",57.00,4.72,46.00,24.00
"Manitoba","Heroin, possession",1.00,0.08,0.00,0.00
"Manitoba","Forcible confinement or kidnapping",239.00,19.78,219.00,13.00
"Manitoba","Trafficking in persons",0.00,0.00,0.00,0.00
"Manitoba","Arson, disregard for human life",30.00,2.48,14.00,15.00
"Manitoba","Anal intercourse",1.00,0.08,1.00,0.00
"Manitoba","Total other Criminal Code violations",21311.00,1763.30,7298.00,1480.00
"Manitoba","Commission or instructing to carry out terrorist activity",0.00,0.00,0.00,0.00
"Manitoba","Total weapons violations",1120.00,92.67,494.00,252.00
"Manitoba","Intimidation of a justice system participant or a journalist",12.00,0.99,8.00,1.00
"Manitoba","Discharge firearm with intent",60.00,4.96,23.00,19.00
"Manitoba","Methamphetamines (crystal meth), possession",1.00,0.08,0.00,0.00
"Manitoba","Incest",8.00,0.66,1.00,1.00
"Manitoba","Kidnapping",0.00,0.00,0.00,0.00
"Manitoba","Driving while prohibited",293.00,24.24,274.00,6.00
"Manitoba","Murder, first degree",10.00,0.83,4.00,7.00
"Manitoba","Child pornography",45.00,3.72,19.00,1.00
"Manitoba","Unlawfully causing bodily harm",12.00,0.99,8.00,1.00
"Manitoba","Heroin, production",0.00,0.00,0.00,0.00
"Manitoba","Total abduction",36.00,2.98,12.00,0.00
"Manitoba","Public incitement of hatred",0.00,0.00,0.00,0.00
"Manitoba","Obtains or communicates with a person under age 18 for purpose of sex",5.00,0.41,3.00,1.00
"Manitoba","Gaming house",1.00,0.08,0.00,0.00
"Manitoba","Weapons trafficking",13.00,1.08,11.00,3.00
"Manitoba","Other violations against the administration of law and justice (Part IV Criminal Code)",870.00,71.98,517.00,33.00
"Manitoba","Causing death by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Manitoba","Other offensive weapons",0,0,0,0
