"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Prince Edward Island","Firearm transfers or serial numbers",0,0,0,0
"Prince Edward Island","Advocating genocide",0.00,0.00,0.00,0.00
"Prince Edward Island","Total other violent violations",13.00,9.37,5.00,1.00
"Prince Edward Island","Homicide",2.00,1.44,1.00,0.00
"Prince Edward Island","Commit offence for criminal organization",0.00,0.00,0.00,0.00
"Prince Edward Island","Participate in activities of criminal organization",0.00,0.00,0.00,0.00
"Prince Edward Island","Unauthorized importing or exporting of weapons",0.00,0.00,0.00,0.00
"Prince Edward Island","Procuring",0.00,0.00,0.00,0.00
"Prince Edward Island","Criminal negligence causing death",0.00,0.00,0.00,0.00
"Prince Edward Island","Impaired operation (drugs), causing death",0.00,0.00,0.00,0.00
"Prince Edward Island","Impaired operation of motor vehicle, vessel or aircraft",443.00,319.25,392.00,5.00
"Prince Edward Island","Driving while prohibited",61.00,43.96,51.00,2.00
"Prince Edward Island","Breaking and entering",805.00,580.12,48.00,22.00
"Prince Edward Island","Other Controlled Drugs and Substances Act, importation and exportation",1.00,0.72,0.00,0.00
"Prince Edward Island","Arson",39.00,28.11,3.00,0.00
"Prince Edward Island","Obstruct public or peace officer",14.00,10.09,11.00,3.00
"Prince Edward Island","Heroin, possession",0.00,0.00,0.00,0.00
"Prince Edward Island","Total impaired driving",465.00,335.10,412.00,5.00
"Prince Edward Island","Offences against the person and reputation (Part VIII Criminal Code)",25.00,18.02,6.00,1.00
"Prince Edward Island","Total forcible confinement or kidnapping",7.00,5.04,8.00,0.00
"Prince Edward Island","Assault, level 3, aggravated",2.00,1.44,2.00,0.00
"Prince Edward Island","Youth Criminal Justice Act",10.00,7.21,1.00,8.00
"Prince Edward Island","Trafficking in persons",0.00,0.00,0.00,0.00
"Prince Edward Island","Escape or helps to escape from lawful custody",8.00,5.77,4.00,2.00
"Prince Edward Island","Total firearms, use of, discharge, pointing",2.00,1.44,0.00,0.00
"Prince Edward Island","Identity theft",0,0,0,0
"Prince Edward Island","Indecent/Harassing communications",221.00,159.26,6.00,0.00
"Prince Edward Island","Incest",0.00,0.00,0.00,0.00
"Prince Edward Island","Other offensive weapons",0.00,0.00,0.00,0.00
"Prince Edward Island","Customs Act",0.00,0.00,0.00,0.00
"Prince Edward Island","Other federal statutes",14.00,10.09,4.00,0.00
"Prince Edward Island","Weapons possession contrary to order",0.00,0.00,0.00,0.00
"Prince Edward Island","Heroin, production",0.00,0.00,0.00,0.00
"Prince Edward Island","Other violent violations",0.00,0.00,0.00,0.00
"Prince Edward Island","Total sexual violations against children",2.00,1.44,0.00,0.00
"Prince Edward Island","Causing death by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Prince Edward Island","Total prostitution",0.00,0.00,0.00,0.00
"Prince Edward Island","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",14.00,10.09,4.00,0.00
"Prince Edward Island","Mischief",1920.00,1383.64,86.00,40.00
"Prince Edward Island","Bankruptcy Act",0.00,0.00,0.00,0.00
"Prince Edward Island","Assault, level 2, weapon or bodily harm",105.00,75.67,51.00,10.00
"Prince Edward Island","Break and enter to steal a firearm from a motor vehicle",0.00,0.00,0.00,0.00
"Prince Edward Island","Disorderly houses, gaming and betting",0.00,0.00,0.00,0.00
"Prince Edward Island","Mischief to religious property motivated by hate",0.00,0.00,0.00,0.00
"Prince Edward Island","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"Prince Edward Island","Firearms Act",7.00,5.04,0.00,0.00
"Prince Edward Island","Counterfeiting",0.00,0.00,0.00,0.00
"Prince Edward Island","Total theft under $5,000 (non-motor vehicle)",2759.00,1988.27,240.00,32.00
"Prince Edward Island","Total other assaults",2.00,1.44,1.00,0.00
"Prince Edward Island","Methylenedioxyamphetamine (ecstasy), possession",0.00,0.00,0.00,0.00
"Prince Edward Island","Total, possession, other Controlled Drugs and Substances Act drugs",21.00,15.13,14.00,0.00
"Prince Edward Island","Dangerous operation of motor vehicle while street racing",0.00,0.00,0.00,0.00
"Prince Edward Island","Offences against public order (Part II Criminal Code)",5.00,3.60,3.00,0.00
"Prince Edward Island","Total Immigration and Refugee Protection Act",1.00,0.72,0.00,0.00
"Prince Edward Island","Extortion",4.00,2.88,2.00,0.00
"Prince Edward Island","Dangerous operation, causing death",1.00,0.72,1.00,0.00
"Prince Edward Island","Living off the avails of prostitution of a person under age 18",0.00,0.00,0.00,0.00
"Prince Edward Island","Possession of weapons",17.00,12.25,5.00,1.00
"Prince Edward Island","Other sexual violations",12.00,8.65,4.00,1.00
"Prince Edward Island","Conspire to commit murder",0.00,0.00,0.00,0.00
"Prince Edward Island","Bestiality, commit or compel person",0.00,0.00,0.00,0.00
"Prince Edward Island","Public incitement of hatred",0.00,0.00,0.00,0.00
"Prince Edward Island","Discharge firearm with intent",1.00,0.72,0.00,0.00
"Prince Edward Island","Instruct offence for criminal organization",0.00,0.00,0.00,0.00
"Prince Edward Island","Total theft over $5,000 (non-motor vehicle)",29.00,20.90,0.00,0.00
"Prince Edward Island","Disturb the peace",476.00,343.03,14.00,3.00
"Prince Edward Island","Failure to comply or refusal (drugs)",0.00,0.00,0.00,0.00
