"Ontario","Total theft over $5,000 (non-motor vehicle)",4645.00,35.02,493.00,42.00,535.00
"Ontario","Homicide",161.00,1.21,156.00,10.00,166.00
"Ontario","Removal of children from Canada",7.00,0.05,0.00,0.00,0.00
"Ontario","Disorderly houses, gaming and betting",..,..,..,..,..
"Ontario","Other Controlled Drugs and Substances Act, production",99.00,0.75,33.00,0.00,33.00
"Ontario","Firearm transfers or serial numbers",..,..,..,..,..
"Ontario","Robbery to steal a firearm",6.00,0.05,1.00,0.00,1.00
"Ontario","Sexual assault, level 3, aggravated",59.00,0.44,30.00,7.00,37.00
"Ontario","Weapons trafficking",53.00,0.40,47.00,5.00,52.00
"Ontario","Trafficking in persons",27.00,0.20,21.00,1.00,22.00
"Ontario","Other Criminal Code traffic violations",126.00,0.95,27.00,1.00,28.00
"Ontario","Dangerous operation of motor vehicle, vessel or aircraft",2249.00,16.96,1979.00,120.00,2099.00
"Ontario","Theft over $5,000",3619.00,27.29,402.00,26.00,428.00
"Ontario","Murder, first degree",76.00,0.57,52.00,1.00,53.00
"Ontario","Shoplifting over $5,000",143.00,1.08,70.00,6.00,76.00
"Ontario","Offences against public order (Part II Criminal Code)",134.00,1.01,76.00,2.00,78.00
"Ontario","Luring a child via a computer",215.00,1.62,36.00,1.00,37.00
"Ontario","Customs Act",96.00,0.72,9.00,0.00,9.00
"Ontario","Impaired operation (drugs), causing death",1.00,0.01,0.00,0.00,0.00
"Ontario","Other Controlled Drugs and Substances Act, possession",2706.00,20.40,1628.00,88.00,1716.00
"Ontario","Robbery",11513.00,86.80,2786.00,1880.00,4666.00
"Ontario","Total other violations",7436.00,56.06,2960.00,276.00,3236.00
"Ontario","Failure to comply or refusal (drugs)",3.00,0.02,3.00,0.00,3.00
"Ontario","Hoax terrorism",4.00,0.03,6.00,1.00,7.00
"Ontario","Total, all Criminal Code violations (excluding traffic)",560703.00,4227.40,136763.00,20747.00,157510.00
"Ontario","Intimidation of a non-justice participant",63.00,0.47,26.00,0.00,26.00
"Ontario","Arson",1986.00,14.97,124.00,104.00,228.00
"Ontario","Offensive weapons, prohibited",0.00,0.00,0.00,0.00,0.00
"Ontario","Impaired operation, failure to provide breath sample",1060.00,7.99,1044.00,4.00,1048.00
"Ontario","Infanticide",0.00,0.00,0.00,0.00,0.00
"Ontario","Other sexual violations",12.00,0.09,3.00,3.00,6.00
"Ontario","Total possession of stolen property",9066.00,68.35,6483.00,1280.00,7763.00
"Ontario","Assault, level 1",50398.00,379.97,22633.00,2802.00,25435.00
"Ontario","Invitation to sexual touching",211.00,1.59,63.00,16.00,79.00
"Ontario","Youth Criminal Justice Act",3887.00,29.31,804.00,1816.00,2620.00
"Ontario","Firearms and other offensive weapons (Part III Criminal Code)",212.00,1.60,56.00,4.00,60.00
"Ontario","Cocaine, importation and exportation",185.00,1.39,105.00,0.00,105.00
"Ontario","Total Federal Statute violations",42455.00,320.09,26581.00,4740.00,31321.00
"Ontario","Obstruct public or peace officer",1787.00,13.47,1386.00,122.00,1508.00
"Ontario","Breaking and entering",50470.00,380.52,4721.00,1499.00,6220.00
"Ontario","Methamphetamines (crystal meth), production",6.00,0.05,0.00,0.00,0.00
"Ontario","Total sexual violations against children",845.00,6.37,252.00,34.00,286.00
"Ontario","Altering, removing or destroying Vehicle Identification Number (VIN)",5.00,0.04,0.00,0.00,0.00
"Ontario","Total violent Criminal Code violations",126908.00,956.82,50015.00,7952.00,57967.00
"Ontario","Breach of probation",10935.00,82.44,8701.00,293.00,8994.00
"Ontario","Forcible confinement or kidnapping",145.00,1.09,124.00,6.00,130.00
"Ontario","Hostage-taking",0.00,0.00,0.00,0.00,0.00
"Ontario","Total Immigration and Refugee Protection Act",337.00,2.54,215.00,1.00,216.00
"Ontario","Advocating genocide",0.00,0.00,0.00,0.00,0.00
"Ontario","Invasion of privacy (Part VI Criminal Code)",12.00,0.09,5.00,0.00,5.00
"Ontario","Methylenedioxyamphetamine (ecstasy), importation and exportation",8.00,0.06,1.00,0.00,1.00
"Ontario","Disturb the peace",6889.00,51.94,657.00,80.00,737.00
"Ontario","Impaired operation (drugs), causing bodily harm",1.00,0.01,1.00,0.00,1.00
"Ontario","Abduction under the age 16",9.00,0.07,1.00,0.00,1.00
"Ontario","Uttering threats",17290.00,130.36,4120.00,647.00,4767.00
"Ontario","Other Controlled Drugs and Substances Act, importation and exportation",459.00,3.46,54.00,0.00,54.00
"Ontario","Discharge firearm with intent",150.00,1.13,36.00,6.00,42.00
"Ontario","Other Controlled Drugs and Substances Act, trafficking",1645.00,12.40,1676.00,81.00,1757.00
"Ontario","Break and enter to steal a firearm from a motor vehicle",57.00,0.43,0.00,4.00,4.00
"Ontario","Dangerous operation causing death while street racing",0.00,0.00,0.00,0.00,0.00
"Ontario","Unlawfully causing bodily harm",308.00,2.32,165.00,25.00,190.00
"Ontario","Competition Act",0.00,0.00,0.00,0.00,0.00
"Ontario","Sexual exploitation",31.00,0.23,17.00,0.00,17.00
"Ontario","Total assaults against a peace officer",3329.00,25.10,2092.00,260.00,2352.00
"Ontario","Total mischief",70100.00,528.52,5359.00,1334.00,6693.00
"Ontario","Unauthorized importing or exporting of weapons",23.00,0.17,11.00,3.00,14.00
"Ontario","Income Tax Act",8.00,0.06,1.00,1.00,2.00
"Ontario","Extortion",449.00,3.39,179.00,55.00,234.00
"Ontario","Participate in activities of criminal organization",3.00,0.02,0.00,0.00,0.00
"Ontario","Freezing of property, disclosure or audit",0.00,0.00,0.00,0.00,0.00
"Ontario","Total other Criminal Code violations",67780.00,511.02,42788.00,5098.00,47886.00
"Ontario","Theft over $5,000 from a motor vehicle",883.00,6.66,21.00,10.00,31.00
"Ontario","Proceeds of crime (Part XII.2 Criminal Code)",167.00,1.26,20.00,0.00,20.00
"Ontario","Total impaired driving",17230.00,129.90,15990.00,106.00,16096.00
"Ontario","Participate in activity of terrorist group",9.00,0.07,0.00,0.00,0.00
"Ontario","Property or service for terrorist activity",17.00,0.13,0.00,0.00,0.00
"Ontario","Offensive weapons, explosives",55.00,0.41,5.00,4.00,9.00
"Ontario","Total, all violations",636172.00,4796.40,184060.00,25792.00,209852.00
"Ontario","Incest",55.00,0.41,34.00,12.00,46.00
"Ontario","Other violations against the administration of law and justice (Part IV Criminal Code)",1971.00,14.86,1156.00,86.00,1242.00
"Ontario","Cannabis, trafficking",2938.00,22.15,3276.00,500.00,3776.00
"Ontario","Total abduction",74.00,0.56,16.00,0.00,16.00
"Ontario","Impaired operation of motor vehicle, vessel or aircraft",15710.00,118.44,14541.00,95.00,14636.00
"Ontario","Total property crime violations",366015.00,2759.56,43960.00,7697.00,51657.00
"Ontario","Total weapons violations",3932.00,29.65,2064.00,411.00,2475.00
"Ontario","Sexual interference",388.00,2.93,136.00,17.00,153.00
"Ontario","Possession, cocaine",2339.00,17.63,2175.00,62.00,2237.00
"Ontario","Methylenedioxyamphetamine (ecstasy), trafficking",29.00,0.22,26.00,2.00,28.00
"Ontario","Precursor or equipment (crystal meth, ecstasy)",4.00,0.03,6.00,0.00,6.00
"Ontario","Driving while prohibited",1937.00,14.60,1922.00,17.00,1939.00
