"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Nova Scotia","Abduction under the age 16",0,0,0,0
"Nova Scotia","Total weapons violations",477.00,51.19,152.00,36.00
"Nova Scotia","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",64.00,6.87,30.00,11.00
"Nova Scotia","Obtains or communicates with a person under age 18 for purpose of sex",0.00,0.00,0.00,0.00
"Nova Scotia","Total firearms, use of, discharge, pointing",17.00,1.82,4.00,0.00
"Nova Scotia","Theft $5,000 or under",11180.00,1199.69,620.00,215.00
"Nova Scotia","Total abduction",15.00,1.61,3.00,0.00
"Nova Scotia","Using firearm in commission of offence",2.00,0.21,0.00,0.00
"Nova Scotia","Infanticide",1.00,0.11,1.00,0.00
"Nova Scotia","Breaking and entering",9118.00,978.42,960.00,699.00
"Nova Scotia","Dangerous operation, causing bodily harm",11.00,1.18,8.00,0.00
"Nova Scotia","Offences relating to currency (Part XII Criminal Code)",51.00,5.47,0.00,0.00
"Nova Scotia","Total breaking and entering",9118.00,978.42,960.00,699.00
"Nova Scotia","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Nova Scotia","Invasion of privacy (Part VI Criminal Code)",1.00,0.11,0.00,0.00
"Nova Scotia","Total forcible confinement or kidnapping",11.00,1.18,9.00,0.00
"Nova Scotia","Arson, disregard for human life",0.00,0.00,0.00,0.00
"Nova Scotia","Impaired operation, failure to provide blood sample",24.00,2.58,17.00,0.00
"Nova Scotia","Total, all violations",82469.00,8849.49,15586.00,3904.00
"Nova Scotia","Shoplifting $5,000 or under",3124.00,335.23,1757.00,673.00
"Nova Scotia","Arson",422.00,45.28,35.00,31.00
"Nova Scotia","Cocaine, trafficking",154.00,16.53,165.00,6.00
"Nova Scotia","Hostage-taking",0.00,0.00,0.00,0.00
"Nova Scotia","Total drug violations",2030.00,217.83,1042.00,122.00
"Nova Scotia","Theft over $5,000",272.00,29.19,38.00,5.00
"Nova Scotia","Total assaults against a peace officer",134.00,14.38,94.00,21.00
"Nova Scotia","Unlawfully causing bodily harm",152.00,16.31,94.00,26.00
"Nova Scotia","Sexual interference",0,0,0,0
"Nova Scotia","Impaired operation, causing death",2.00,0.21,2.00,0.00
"Nova Scotia","Offences against rights of property (Part IX Criminal Code)",132.00,14.16,70.00,44.00
"Nova Scotia","Extortion",119.00,12.77,24.00,17.00
"Nova Scotia","Offences against the person and reputation (Part VIII Criminal Code)",1799.00,193.05,252.00,51.00
"Nova Scotia","Total administration of justice violations",4787.00,513.68,1412.00,438.00
"Nova Scotia","Forcible confinement or kidnapping",11.00,1.18,9.00,0.00
"Nova Scotia","Prisoner unlawfully at large",54.00,5.79,31.00,1.00
"Nova Scotia","Other Controlled Drugs and Substances Act, possession",94.00,10.09,12.00,3.00
"Nova Scotia","Manslaughter",0,0,0,0
"Nova Scotia","Criminal negligence causing death",4.00,0.43,0.00,0.00
"Nova Scotia","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",134.00,14.38,5.00,1.00
"Nova Scotia","Total Federal Statute violations",2684.00,288.01,1148.00,167.00
"Nova Scotia","Bawdy house",0.00,0.00,0.00,0.00
"Nova Scotia","Trespass at night",250.00,26.83,13.00,12.00
"Nova Scotia","Possession of weapons",55.00,5.90,22.00,3.00
"Nova Scotia","Proceeds of crime (Part XII.2 Criminal Code)",0.00,0.00,0.00,0.00
"Nova Scotia","Total prostitution",186.00,19.96,168.00,12.00
"Nova Scotia","Total fail to stop or remain",104.00,11.16,24.00,0.00
"Nova Scotia","Indecent acts",167.00,17.92,24.00,6.00
"Nova Scotia","Total robbery",515.00,55.26,148.00,81.00
"Nova Scotia","Other violent violations",37.00,3.97,3.00,0.00
"Nova Scotia","Cannabis, importation and exportation",10.00,1.07,1.00,0.00
"Nova Scotia","Escape or helps to escape from lawful custody",34.00,3.65,15.00,13.00
"Nova Scotia","Attempted murder",11.00,1.18,7.00,0.00
"Nova Scotia","Cocaine, importation and exportation",1.00,0.11,0.00,0.00
"Nova Scotia","Sexual assault, level 1",928.00,99.58,242.00,41.00
"Nova Scotia","Shoplifting over $5,000",30.00,3.22,6.00,2.00
"Nova Scotia","Total other violations causing death",4.00,0.43,0.00,0.00
