"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"St.Catharines-Niagara, Ontario","Other related violations causing death",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Identity theft",16.00,3.62,0.00,0.00
"St.Catharines-Niagara, Ontario","Other offensive weapons",0,0,0,0
"St.Catharines-Niagara, Ontario","Total theft under $5,000 (non-motor vehicle)",7579.00,1715.32,550.00,78.00
"St.Catharines-Niagara, Ontario","Total cocaine, trafficking, production or distribution",97.00,21.95,150.00,2.00
"St.Catharines-Niagara, Ontario","Sexual assault, level 2, weapon or bodily harm",5.00,1.13,0.00,2.00
"St.Catharines-Niagara, Ontario","Making sexually explicit material available to children",0,0,0,0
"St.Catharines-Niagara, Ontario","Dangerous operation of motor vehicle evading police",30.00,6.79,18.00,0.00
"St.Catharines-Niagara, Ontario","Corrupting morals of a child",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Procuring",2.00,0.45,0.00,0.00
"St.Catharines-Niagara, Ontario","Total possession of stolen property",257.00,58.17,204.00,44.00
"St.Catharines-Niagara, Ontario","Abduction under age 14, by parent or guardian",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Assault, level 1",1335.00,302.14,659.00,92.00
"St.Catharines-Niagara, Ontario","Canada Shipping Act",73.00,16.52,65.00,0.00
"St.Catharines-Niagara, Ontario","Firearms documentation or administration",1.00,0.23,0.00,0.00
"St.Catharines-Niagara, Ontario","Corrupting morals",1.00,0.23,0.00,0.00
"St.Catharines-Niagara, Ontario","Offensive weapons, restricted",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Altering, removing or destroying Vehicle Identification Number (VIN)",0,0,0,0
"St.Catharines-Niagara, Ontario","Heroin, importation and exportation",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Obstruct public or peace officer",57.00,12.90,52.00,4.00
"St.Catharines-Niagara, Ontario","Weapons possession contrary to order",5.00,1.13,3.00,0.00
"St.Catharines-Niagara, Ontario","Sexual exploitation",2.00,0.45,1.00,0.00
"St.Catharines-Niagara, Ontario","Disorderly houses, gaming and betting",0,0,0,0
"St.Catharines-Niagara, Ontario","Total other Criminal Code violations",2112.00,478.00,1533.00,154.00
"St.Catharines-Niagara, Ontario","Causing death by criminal negligence while street racing",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Kidnapping",5.00,1.13,1.00,0.00
"St.Catharines-Niagara, Ontario","Total property crime violations",15813.00,3578.88,1470.00,216.00
"St.Catharines-Niagara, Ontario","Failure to comply or refusal (drugs)",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Cannabis, trafficking",68.00,15.39,87.00,11.00
"St.Catharines-Niagara, Ontario","Uttering threats",404.00,91.44,120.00,14.00
"St.Catharines-Niagara, Ontario","Advocating genocide",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Unauthorized importing or exporting of weapons",2.00,0.45,1.00,0.00
"St.Catharines-Niagara, Ontario","Competition Act",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Total Criminal Code traffic violations",1788.00,404.67,857.00,11.00
"St.Catharines-Niagara, Ontario","Possession, cocaine",82.00,18.56,68.00,0.00
"St.Catharines-Niagara, Ontario","Heroin, production",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Mischief",2851.00,645.25,167.00,40.00
"St.Catharines-Niagara, Ontario","Total theft of motor vehicle",881.00,199.39,35.00,8.00
"St.Catharines-Niagara, Ontario","Total mischief",2857.00,646.61,167.00,40.00
"St.Catharines-Niagara, Ontario","Other violations against the administration of law and justice (Part IV Criminal Code)",60.00,13.58,22.00,2.00
"St.Catharines-Niagara, Ontario","Other violations related to gaming and betting",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Impaired operation (drugs), causing death",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Murder, first degree",2.00,0.45,2.00,0.00
"St.Catharines-Niagara, Ontario","Other Controlled Drugs and Substances Act, production",3.00,0.68,0.00,0.00
"St.Catharines-Niagara, Ontario","Weapons trafficking",2.00,0.45,0.00,0.00
"St.Catharines-Niagara, Ontario","Firearm transfers or serial numbers",0,0,0,0
"St.Catharines-Niagara, Ontario","Dangerous operation causing bodily harm while street racing",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Hoax terrorism",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Criminal harassment",235.00,53.19,66.00,0.00
"St.Catharines-Niagara, Ontario","Firearms and other offensive weapons (Part III Criminal Code)",5.00,1.13,3.00,0.00
"St.Catharines-Niagara, Ontario","Impaired operation (drugs), causing bodily harm",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"St.Catharines-Niagara, Ontario","Offensive weapons, explosives",0.00,0.00,0.00,0.00
