"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Saskatchewan","Total other Federal Statutes",2337.00,208.24,322.00,18.00
"Saskatchewan","Total fail to stop or remain",1232.00,109.78,125.00,5.00
"Saskatchewan","Mischief",25944.00,2311.72,1307.00,446.00
"Saskatchewan","Weapons possession contrary to order",89.00,7.93,103.00,15.00
"Saskatchewan","Sexual Exploitation of a person with a disability",2.00,0.18,0.00,0.00
"Saskatchewan","Attempted murder",35.00,3.12,35.00,1.00
"Saskatchewan","Dangerous operation, causing bodily harm",28.00,2.49,20.00,3.00
"Saskatchewan","Impaired operation (drugs), causing bodily harm",1.00,0.09,0.00,0.00
"Saskatchewan","Hostage-taking",0.00,0.00,0.00,0.00
"Saskatchewan","Leaving Canada to facilitate terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Total sexual violations against children",237.00,21.12,59.00,6.00
"Saskatchewan","Criminal negligence causing death",7.00,0.62,5.00,1.00
"Saskatchewan","Corrupting morals",6.00,0.53,0.00,0.00
"Saskatchewan","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"Saskatchewan","Methamphetamines (crystal meth), possession",83.00,7.40,76.00,0.00
"Saskatchewan","Total other Criminal Code violations",32863.00,2928.23,21104.00,2773.00
"Saskatchewan","Commission or instructing to carry out terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Mischief to religious property motivated by hate",2.00,0.18,0.00,0.00
"Saskatchewan","Receive material benefit from sexual services provided by a person under 18 years",0.00,0.00,0.00,0.00
"Saskatchewan","Parent or guardian procuring sexual activity: person procured under the age of 16 years",0,0,0,0
"Saskatchewan","Robbery to steal a firearm",1.00,0.09,3.00,2.00
"Saskatchewan","Cannabis, importation and exportation",3.00,0.27,1.00,0.00
"Saskatchewan","Dangerous operation evading police, causing bodily harm",2.00,0.18,1.00,2.00
"Saskatchewan","Leaving Canada to commit offence that is terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Possession, cocaine",227.00,20.23,182.00,3.00
"Saskatchewan","Other Controlled Drugs and Substances Act, possession",179.00,15.95,135.00,4.00
"Saskatchewan","Other assaults",69.00,6.15,30.00,1.00
"Saskatchewan","Other sexual violations",0.00,0.00,1.00,0.00
"Saskatchewan","Total Criminal Code traffic violations",9786.00,871.97,5783.00,185.00
"Saskatchewan","Other Controlled Drugs and Substances Act, trafficking",159.00,14.17,63.00,10.00
"Saskatchewan","Unlawfully causing bodily harm",13.00,1.16,6.00,2.00
"Saskatchewan","Using firearm in commission of offence",24.00,2.14,21.00,3.00
"Saskatchewan","Impaired operation (drugs) vehicle, vessel, aircraft",174.00,15.50,64.00,5.00
"Saskatchewan","Breach of probation",4113.00,366.49,3517.00,115.00
"Saskatchewan","Total other Criminal Code traffic violations",3010.00,268.20,1346.00,108.00
"Saskatchewan","Total assaults against a peace officer",556.00,49.54,370.00,56.00
"Saskatchewan","Abduction under the age 14, not parent or guardian",9.00,0.80,0.00,0.00
"Saskatchewan","Total, all Criminal Code violations (including traffic)",128223.00,11425.19,42091.00,6180.00
"Saskatchewan","Murder, first degree",6.00,0.53,9.00,2.00
"Saskatchewan","Fraud",3599.00,320.69,744.00,23.00
"Saskatchewan","Weapons trafficking",7.00,0.62,5.00,1.00
"Saskatchewan","Possession, cannabis",2016.00,179.63,1063.00,191.00
"Saskatchewan","Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to any punishment other than life",0.00,0.00,0.00,0.00
"Saskatchewan","Total other assaults",98.00,8.73,44.00,5.00
"Saskatchewan","Total other violations",2241.00,199.68,1146.00,147.00
"Saskatchewan","Receive material benefit from sexual services",0.00,0.00,0.00,0.00
"Saskatchewan","Sexual assault, level 3, aggravated",12.00,1.07,3.00,0.00
"Saskatchewan","Sexual assault, level 1",1083.00,96.50,387.00,69.00
"Saskatchewan","Canada Health Act",0.00,0.00,0.00,0.00
"Saskatchewan","Failure to provide blood sample (drugs)",0.00,0.00,0.00,0.00
"Saskatchewan","Total prostitution",86.00,7.66,68.00,1.00
"Saskatchewan","Conspire to commit murder",1.00,0.09,0.00,0.00
"Saskatchewan","Causing death by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Saskatchewan","Offences relating to currency (Part XII Criminal Code)",5.00,0.45,0.00,0.00
"Saskatchewan","Sexual exploitation",6.00,0.53,2.00,0.00
"Saskatchewan","Competition Act",0.00,0.00,0.00,0.00
"Saskatchewan","Other violent violations",41.00,3.65,20.00,1.00
"Saskatchewan","Methamphetamines (crystal meth), production",3.00,0.27,0.00,0.00
"Saskatchewan","Kidnapping",17.00,1.51,10.00,0.00
"Saskatchewan","Obtaining sexual services for consideration from person under 18 years",0.00,0.00,0.00,0.00
"Saskatchewan","Making, or distribution of child pornography",0.00,0.00,0.00,0.00
"Saskatchewan","Total possession of stolen property",1095.00,97.57,565.00,298.00
"Saskatchewan","Total impaired driving",6776.00,603.77,4437.00,77.00
"Saskatchewan","Impaired operation (drugs), causing death",2.00,0.18,1.00,0.00
"Saskatchewan","Total other violations causing death",7.00,0.62,5.00,1.00
"Saskatchewan","Discharge firearm with intent",70.00,6.24,31.00,7.00
"Saskatchewan","Total firearms, use of, discharge, pointing",181.00,16.13,79.00,12.00
"Saskatchewan","Total cocaine, trafficking, production or distribution",468.00,41.70,385.00,21.00
"Saskatchewan","Parent or guardian procuring sexual activity",0.00,0.00,0.00,0.00
"Saskatchewan","Concealing person who is likely to carry out terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Freezing of property, disclosure or audit",0.00,0.00,0.00,0.00
"Saskatchewan","Proceeds of crime (Part XII.2 Criminal Code)",20.00,1.78,17.00,0.00
"Saskatchewan","Total violent Criminal Code violations",22134.00,1972.23,8612.00,1114.00
"Saskatchewan","Offensive weapons, explosives",13.00,1.16,2.00,1.00
"Saskatchewan","Other federal statutes",2179.00,194.16,318.00,17.00
"Saskatchewan","Methylenedioxyamphetamine (ecstasy), importation and exportation",0.00,0.00,0.00,0.00
"Saskatchewan","Offences against the person and reputation (Part VIII Criminal Code)",152.00,13.54,44.00,1.00
"Saskatchewan","Forcible confinement or kidnapping",0.00,0.00,0.00,0.00
"Saskatchewan","Obstruct public or peace officer",776.00,69.14,615.00,87.00
"Saskatchewan","Methylenedioxyamphetamine (ecstasy), possession",3.00,0.27,4.00,0.00
"Saskatchewan","Unsafe storage of firearms",73.00,6.50,22.00,1.00
"Saskatchewan","Canada Shipping Act",6.00,0.53,2.00,0.00
"Saskatchewan","Breaking and entering",8426.00,750.79,842.00,631.00
"Saskatchewan","Methylenedioxyamphetamine (ecstasy), trafficking",3.00,0.27,0.00,0.00
"Saskatchewan","Assault, level 2, weapon or bodily harm",3512.00,312.93,1737.00,279.00
"Saskatchewan","Abduction under the age 16",0.00,0.00,0.00,0.00
"Saskatchewan","Child pornography",95.00,8.46,21.00,0.00
"Saskatchewan","Voyeurism",31.00,2.76,5.00,1.00
"Saskatchewan","Cannabis, production",34.00,3.03,8.00,0.00
"Saskatchewan","Trespass at night",74.00,6.59,4.00,2.00
"Saskatchewan","Theft over $5,000 from a motor vehicle",77.00,6.86,0.00,5.00
"Saskatchewan","Impaired operation, failure to provide blood sample",1.00,0.09,1.00,0.00
"Saskatchewan","Property or service for terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Total breaking and entering",8524.00,759.52,850.00,644.00
"Saskatchewan","Public incitement of hatred",1.00,0.09,0.00,0.00
"Saskatchewan","Anal intercourse",0.00,0.00,0.00,0.00
"Saskatchewan","Utter threats to property or animal",263.00,23.43,30.00,4.00
"Saskatchewan","Removal of children from Canada",0.00,0.00,0.00,0.00
"Saskatchewan","Total property crime violations",63440.00,5652.76,6592.00,2108.00
"Saskatchewan","Escape or helps to escape from lawful custody",89.00,7.93,47.00,61.00
"Saskatchewan","Dangerous operation of motor vehicle while street racing",19.00,1.69,1.00,1.00
"Saskatchewan","Nonconsensual distribution of intimate images",0.00,0.00,0.00,0.00
"Saskatchewan","Householder permitting prohibited sexual activity",0.00,0.00,0.00,0.00
"Saskatchewan","Theft over $5,000",482.00,42.95,53.00,8.00
"Saskatchewan","Total administration of justice violations",23031.00,2052.16,18596.00,2391.00
"Saskatchewan","Total Immigration and Refugee Protection Act",11.00,0.98,1.00,0.00
"Saskatchewan","Bankruptcy Act",1.00,0.09,0.00,0.00
"Saskatchewan","Procuring - person under 18 years",0.00,0.00,0.00,0.00
"Saskatchewan","Cannabis, trafficking",431.00,38.40,203.00,35.00
"Saskatchewan","Impaired operation of motor vehicle, vessel or aircraft",6361.00,566.79,4138.00,69.00
"Saskatchewan","Youth Criminal Justice Act",1792.00,159.67,301.00,1241.00
"Saskatchewan","Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",7.00,0.62,1.00,0.00
"Saskatchewan","Unauthorized importing or exporting of weapons",4.00,0.36,0.00,0.00
"Saskatchewan","All other Criminal Code (includes Part XII.1 Criminal Code)",312.00,27.80,292.00,28.00
"Saskatchewan","Assault, level 1",10277.00,915.72,4170.00,397.00
"Saskatchewan","Murder, second degree",15.00,1.34,15.00,0.00
"Saskatchewan","Participate in activities of criminal organization",31.00,2.76,0.00,0.00
"Saskatchewan","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",229.00,20.40,110.00,11.00
"Saskatchewan","Counterfeiting",13.00,1.16,13.00,0.00
"Saskatchewan","Leaving Canada to commit offence for terrorist group",0.00,0.00,0.00,0.00
"Saskatchewan","Identity fraud",362.00,32.26,93.00,4.00
"Saskatchewan","Instruct offence for criminal organization",5.00,0.45,4.00,0.00
"Saskatchewan","Total commodification of sexual activity violations",0.00,0.00,0.00,0.00
"Saskatchewan","Arson, disregard for human life",13.00,1.16,7.00,2.00
"Saskatchewan","Failure to comply or refusal (drugs)",2.00,0.18,2.00,0.00
"Saskatchewan","Total cannabis, trafficking, production or distribution",468.00,41.70,212.00,35.00
"Saskatchewan","Offences against public order (Part II Criminal Code)",20.00,1.78,3.00,0.00
"Saskatchewan","Total mischief",25946.00,2311.89,1307.00,446.00
"Saskatchewan","Heroin, importation and exportation",0.00,0.00,0.00,0.00
"Saskatchewan","Living off the avails of prostitution of a person under age 18",1.00,0.09,0.00,0.00
"Saskatchewan","Total drug violations",3676.00,327.55,2167.00,269.00
"Saskatchewan","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",207.00,18.44,41.00,3.00
"Saskatchewan","Hoax terrorism",1.00,0.09,0.00,0.00
"Saskatchewan","Dangerous operation, causing death",3.00,0.27,3.00,0.00
"Saskatchewan","Disturb the peace",6394.00,569.73,628.00,31.00
"Saskatchewan","Trap likely to or causing bodily harm",0.00,0.00,0.00,0.00
"Saskatchewan","Robbery",918.00,81.80,337.00,138.00
"Saskatchewan","Bawdy house",0.00,0.00,0.00,0.00
"Saskatchewan","Corrupting morals of a child",2.00,0.18,0.00,0.00
"Saskatchewan","Common Bawdy House",0,0,0,0
"Saskatchewan","Break and enter to steal a firearm from a motor vehicle",54.00,4.81,3.00,2.00
"Saskatchewan","Theft $5,000 or under",9321.00,830.54,727.00,173.00
"Saskatchewan","Forcible confinement",135.00,12.03,92.00,1.00
"Saskatchewan","Attempts, conspiracies, accessories (Part XIII Criminal Code)",6.00,0.53,3.00,0.00
"Saskatchewan","Other Criminal Code traffic violations",2.00,0.18,1.00,0.00
"Saskatchewan","Firearms documentation or administration",13.00,1.16,1.00,0.00
"Saskatchewan","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",10.00,0.89,0.00,0.00
"Saskatchewan","Invasion of privacy (Part VI Criminal Code)",2.00,0.18,0.00,0.00
"Saskatchewan","Cocaine, trafficking",467.00,41.61,382.00,21.00
"Saskatchewan","Total Federal Statute violations",7805.00,695.46,2790.00,1528.00
"Saskatchewan","Arson",561.00,49.99,43.00,30.00
"Saskatchewan","Cocaine, production",1.00,0.09,3.00,0.00
"Saskatchewan","Homicide",24.00,2.14,27.00,2.00
"Saskatchewan","Dangerous operation of motor vehicle evading police",325.00,28.96,151.00,41.00
"Saskatchewan","Incest",8.00,0.71,4.00,2.00
"Saskatchewan","Disorderly houses, gaming and betting",0.00,0.00,0.00,0.00
"Saskatchewan","Total, all Criminal Code violations (excluding traffic)",118437.00,10553.22,36308.00,5995.00
"Saskatchewan","Indecent/Harassing communications",783.00,69.77,15.00,0.00
"Saskatchewan","Advocating genocide",0.00,0.00,0.00,0.00
"Saskatchewan","Firearm transfers or serial numbers",0.00,0.00,0.00,0.00
"Saskatchewan","Intimidation of a justice system participant or a journalist",12.00,1.07,7.00,1.00
"Saskatchewan","Intimidation of a non-justice participant",16.00,1.43,4.00,0.00
"Saskatchewan","Identity theft",32.00,2.85,3.00,0.00
"Saskatchewan","Obtaining sexual services for consideration",0.00,0.00,0.00,0.00
"Saskatchewan","Dangerous operation of motor vehicle, vessel or aircraft",670.00,59.70,367.00,53.00
"Saskatchewan","Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to imprisonment for life",0.00,0.00,0.00,0.00
"Saskatchewan","National Defence Act",0.00,0.00,0.00,0.00
"Saskatchewan","Total robbery",919.00,81.89,340.00,140.00
"Saskatchewan","Abduction under the age 14 contravening a custody order",8.00,0.71,6.00,0.00
"Saskatchewan","Advocating/Promoting terrorism offence",0.00,0.00,0.00,0.00
"Saskatchewan","Other Controlled Drugs and Substances Act, production",3.00,0.27,5.00,0.00
"Saskatchewan","Uttering threats",3010.00,268.20,729.00,86.00
"Saskatchewan","Methamphetamines (crystal meth), trafficking",51.00,4.54,40.00,1.00
"Saskatchewan","Manslaughter",3.00,0.27,3.00,0.00
"Saskatchewan","Luring a child via a computer",33.00,2.94,1.00,1.00
"Saskatchewan","Total other violent violations",126.00,11.23,48.00,7.00
"Saskatchewan","Trafficking in persons",0.00,0.00,0.00,0.00
"Saskatchewan","Other violations against the administration of law and justice (Part IV Criminal Code)",339.00,30.21,132.00,9.00
"Saskatchewan","Excise Act",4.00,0.36,0.00,0.00
"Saskatchewan","Fail to appear",6367.00,567.33,5589.00,576.00
"Saskatchewan","Gaming house",0.00,0.00,0.00,0.00
"Saskatchewan","Total theft of motor vehicle",4347.00,387.34,342.00,201.00
"Saskatchewan","Income Tax Act",0.00,0.00,0.00,0.00
"Saskatchewan","Methylenedioxyamphetamine (ecstasy), production",0.00,0.00,0.00,0.00
"Saskatchewan","Pointing a firearm",87.00,7.75,27.00,2.00
"Saskatchewan","Leaving Canada to participate in activity of terrorist group",0.00,0.00,0.00,0.00
"Saskatchewan","Firearms Act",100.00,8.91,1.00,1.00
"Saskatchewan","Communicating to provide sexual services for consideration",0.00,0.00,0.00,0.00
"Saskatchewan","Customs Act",36.00,3.21,0.00,0.00
"Saskatchewan","Prisoner unlawfully at large",252.00,22.45,155.00,65.00
"Saskatchewan","Precursor or equipment (crystal meth, ecstasy)",0.00,0.00,0.00,0.00
"Saskatchewan","Total, possession, other Controlled Drugs and Substances Act drugs",268.00,23.88,215.00,8.00
"Saskatchewan","Criminal harassment",639.00,56.94,133.00,6.00
"Saskatchewan","Total theft under $5,000 (non-motor vehicle)",18374.00,1637.20,2567.00,447.00
"Saskatchewan","Firearms and other offensive weapons (Part III Criminal Code)",156.00,13.90,11.00,1.00
"Saskatchewan","Betting house",0.00,0.00,0.00,0.00
"Saskatchewan","Facilitate terrorist activity",0.00,0.00,0.00,0.00
"Saskatchewan","Stopping or impeding traffic for the purpose of offering, providing or obtaining sexual services for consideration",0.00,0.00,0.00,0.00
"Saskatchewan","Dangerous operation causing bodily harm while street racing",0.00,0.00,0.00,0.00
"Saskatchewan","Fail to comply with order",11871.00,1057.75,9156.00,1565.00
"Saskatchewan","Breaking and entering to steal a firearm",44.00,3.92,5.00,11.00
"Saskatchewan","Offences against rights of property (Part IX Criminal Code)",56.00,4.99,45.00,20.00
"Saskatchewan","Harbour or conceal terrorist",0.00,0.00,0.00,0.00
"Saskatchewan","Making sexually explicit material available to children",16.00,1.43,3.00,0.00
"Saskatchewan","Cocaine, importation and exportation",0.00,0.00,0.00,0.00
"Saskatchewan","Shoplifting over $5,000",17.00,1.51,6.00,0.00
"Saskatchewan","Theft $5,000 or under from a motor vehicle",5431.00,483.92,64.00,82.00
"Saskatchewan","Total, all violations",136028.00,12120.65,44881.00,7708.00
"Saskatchewan","Commit offence for criminal organization",2.00,0.18,0.00,0.00
"Saskatchewan","Other violations related to gaming and betting",2.00,0.18,1.00,0.00
"Saskatchewan","Bestiality, commit or compel person",0.00,0.00,0.00,0.00
"Saskatchewan","Possession of weapons",804.00,71.64,499.00,185.00
"Saskatchewan","Offensive weapons, restricted",0.00,0.00,0.00,0.00
"Saskatchewan","Other related violations causing death",0.00,0.00,0.00,0.00
"Saskatchewan","Participate in activity of terrorist group",0.00,0.00,0.00,0.00
"Saskatchewan","Driving while prohibited",729.00,64.96,677.00,3.00
"Saskatchewan","Total theft over $5,000 (non-motor vehicle)",576.00,51.32,59.00,13.00
"Saskatchewan","Recruitment of members by a criminal organization",0.00,0.00,0.00,0.00
"Saskatchewan","Impaired operation, failure to provide breath sample",144.00,12.83,144.00,1.00
"Saskatchewan","Heroin, trafficking",5.00,0.45,2.00,0.00
"Saskatchewan","Heroin, possession",3.00,0.27,0.00,4.00
"Saskatchewan","Causing bodily harm by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Saskatchewan","Mischief in relation to cultural property",0.00,0.00,0.00,0.00
"Saskatchewan","Unauthorized recording of a movie",0.00,0.00,0.00,0.00
