"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Sherbrooke, Quebec","Total drug violations",382.00,264.86,200.00,59.00
"Sherbrooke, Quebec","Disturb the peace",2.00,1.39,1.00,0.00
"Sherbrooke, Quebec","Total possession of stolen property",57.00,39.52,40.00,5.00
"Sherbrooke, Quebec","Customs Act",3.00,2.08,0.00,0.00
"Sherbrooke, Quebec","Total other assaults",4.00,2.77,2.00,1.00
"Sherbrooke, Quebec","Weapons trafficking",0,0,0,0
"Sherbrooke, Quebec","Total prostitution",0,0,0,0
"Sherbrooke, Quebec","Attempted murder",2.00,1.39,1.00,0.00
"Sherbrooke, Quebec","Impaired operation, causing bodily harm",8.00,5.55,5.00,0.00
"Sherbrooke, Quebec","Possession, cannabis",183.00,126.88,73.00,26.00
"Sherbrooke, Quebec","Offensive weapons, prohibited",0,0,0,0
"Sherbrooke, Quebec","Firearms documentation or administration",0,0,0,0
"Sherbrooke, Quebec","Theft over $5,000",74.00,51.31,7.00,1.00
"Sherbrooke, Quebec","Total Immigration and Refugee Protection Act",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Competition Act",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Other assaults",3.00,2.08,2.00,0.00
"Sherbrooke, Quebec","Total firearms, use of, discharge, pointing",3.00,2.08,3.00,0.00
"Sherbrooke, Quebec","Impaired operation of motor vehicle, vessel or aircraft",266.00,184.43,245.00,0.00
"Sherbrooke, Quebec","Youth Criminal Justice Act",9.00,6.24,0.00,1.00
"Sherbrooke, Quebec","Total, all Criminal Code violations (excluding traffic)",9368.00,6495.27,1211.00,210.00
"Sherbrooke, Quebec","Total forcible confinement or kidnapping",17.00,11.79,20.00,0.00
"Sherbrooke, Quebec","Trespass at night",6.00,4.16,2.00,1.00
"Sherbrooke, Quebec","Abduction under the age 14, not parent or guardian",0,0,0,0
"Sherbrooke, Quebec","Total abduction",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Offences against public order (Part II Criminal Code)",11.00,7.63,1.00,0.00
"Sherbrooke, Quebec","Conspire to commit murder",3.00,2.08,3.00,0.00
"Sherbrooke, Quebec","Procuring",0,0,0,0
"Sherbrooke, Quebec","Total theft under $5,000 (non-motor vehicle)",2419.00,1677.21,171.00,29.00
"Sherbrooke, Quebec","Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",0,0,0,0
"Sherbrooke, Quebec","Counterfeiting",3.00,2.08,4.00,0.00
"Sherbrooke, Quebec","Total property crime violations",7435.00,5155.03,526.00,107.00
"Sherbrooke, Quebec","Total other violations",81.00,56.16,30.00,3.00
"Sherbrooke, Quebec","Total, possession, other Controlled Drugs and Substances Act drugs",9.00,6.24,3.00,2.00
"Sherbrooke, Quebec","Other Controlled Drugs and Substances Act, trafficking",2.00,1.39,0.00,2.00
"Sherbrooke, Quebec","Extortion",5.00,3.47,2.00,0.00
"Sherbrooke, Quebec","Hostage-taking",1.00,0.69,1.00,0.00
"Sherbrooke, Quebec","Total cannabis, trafficking, production or distribution",129.00,89.44,73.00,29.00
"Sherbrooke, Quebec","Other offensive weapons",0,0,0,0
"Sherbrooke, Quebec","Manslaughter",0,0,0,0
"Sherbrooke, Quebec","Total sexual violations against children",0,0,0,0
"Sherbrooke, Quebec","Criminal negligence causing death",0,0,0,0
"Sherbrooke, Quebec","Sexual assault, level 3, aggravated",2.00,1.39,1.00,0.00
"Sherbrooke, Quebec","Corrupting morals of a child",0,0,0,0
"Sherbrooke, Quebec","Other Controlled Drugs and Substances Act, importation and exportation",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Using firearm in commission of offence",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",3.00,2.08,0.00,2.00
"Sherbrooke, Quebec","Total assaults against a peace officer",65.00,45.07,44.00,4.00
"Sherbrooke, Quebec","Total, all Criminal Code violations (including traffic)",9703.00,6727.54,1501.00,210.00
"Sherbrooke, Quebec","Sexual assault, level 1",55.00,38.13,20.00,3.00
"Sherbrooke, Quebec","Other prostitution",0,0,0,0
"Sherbrooke, Quebec","Total breaking and entering",2053.00,1423.44,98.00,41.00
"Sherbrooke, Quebec","Canada Shipping Act",0,0,0,0
"Sherbrooke, Quebec","Proceeds of crime (Part XII.2 Criminal Code)",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Fraud",390.00,270.41,100.00,7.00
"Sherbrooke, Quebec","Abduction under age 14, by parent or guardian",0,0,0,0
"Sherbrooke, Quebec","Arson, disregard for human life",0,0,0,0
"Sherbrooke, Quebec","Firearm transfers or serial numbers",0,0,0,0
"Sherbrooke, Quebec","Prisoner unlawfully at large",101.00,70.03,41.00,0.00
"Sherbrooke, Quebec","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Murder, first degree",0,0,0,0
"Sherbrooke, Quebec","Unsafe storage of firearms",2.00,1.39,0.00,0.00
"Sherbrooke, Quebec","Canada Health Act",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Offences against the person and reputation (Part VIII Criminal Code)",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Dangerous operation of motor vehicle evading police",1.00,0.69,1.00,0.00
"Sherbrooke, Quebec","Corrupting morals",0,0,0,0
"Sherbrooke, Quebec","Total fail to stop or remain",19.00,13.17,4.00,0.00
"Sherbrooke, Quebec","Weapons possession contrary to order",0,0,0,0
"Sherbrooke, Quebec","Cannabis, importation and exportation",0,0,0,0
"Sherbrooke, Quebec","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",0,0,0,0
"Sherbrooke, Quebec","Total impaired driving",293.00,203.15,268.00,0.00
"Sherbrooke, Quebec","Escape or helps to escape from lawful custody",20.00,13.87,2.00,6.00
"Sherbrooke, Quebec","Total other Criminal Code violations",922.00,639.27,275.00,33.00
"Sherbrooke, Quebec","All other Criminal Code (includes Part XII.1 Criminal Code)",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Living off the avails of prostitution of a person under age 18",0,0,0,0
"Sherbrooke, Quebec","Homicide",0,0,0,0
"Sherbrooke, Quebec","Cocaine, importation and exportation",0,0,0,0
"Sherbrooke, Quebec","Total administration of justice violations",824.00,571.32,236.00,30.00
"Sherbrooke, Quebec","Uttering threats",228.00,158.08,68.00,10.00
"Sherbrooke, Quebec","Total other Federal Statutes",21.00,14.56,0.00,0.00
"Sherbrooke, Quebec","Robbery",108.00,74.88,38.00,13.00
"Sherbrooke, Quebec","Total mischief",1137.00,788.34,41.00,11.00
"Sherbrooke, Quebec","Indecent acts",16.00,11.09,4.00,0.00
"Sherbrooke, Quebec","Bankruptcy Act",8.00,5.55,0.00,0.00
"Sherbrooke, Quebec","Impaired operation, causing death",0,0,0,0
"Sherbrooke, Quebec","Income Tax Act",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Offences relating to currency (Part XII Criminal Code)",0,0,0,0
"Sherbrooke, Quebec","Possession of weapons",6.00,4.16,4.00,0.00
"Sherbrooke, Quebec","Sexual assault, level 2, weapon or bodily harm",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Heroin, possession",0,0,0,0
"Sherbrooke, Quebec","Firearms and other offensive weapons (Part III Criminal Code)",0,0,0,0
"Sherbrooke, Quebec","Other violent violations",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Dangerous operation, causing bodily harm",3.00,2.08,2.00,0.00
"Sherbrooke, Quebec","Discharge firearm with intent",1.00,0.69,1.00,0.00
"Sherbrooke, Quebec","Theft $5,000 or under",1198.00,830.63,29.00,10.00
"Sherbrooke, Quebec","Offences against rights of property (Part IX Criminal Code)",31.00,21.49,16.00,1.00
"Sherbrooke, Quebec","Luring a child via a computer",0,0,0,0
"Sherbrooke, Quebec","Cocaine, trafficking",31.00,21.49,28.00,0.00
"Sherbrooke, Quebec","Attempts, conspiracies, accessories (Part XIII Criminal Code)",0,0,0,0
"Sherbrooke, Quebec","Criminal harassment",49.00,33.97,16.00,0.00
"Sherbrooke, Quebec","Other Criminal Code traffic violations",1.00,0.69,1.00,0.00
"Sherbrooke, Quebec","Abduction under the age 14 contravening a custody order",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Total, all violations",10115.00,7013.20,1701.00,270.00
"Sherbrooke, Quebec","Theft $5,000 or under from a motor vehicle",890.00,617.08,11.00,4.00
"Sherbrooke, Quebec","Assault, level 1",355.00,246.14,147.00,32.00
"Sherbrooke, Quebec","Offensive weapons, explosives",4.00,2.77,0.00,0.00
"Sherbrooke, Quebec","Total other Criminal Code traffic violations",42.00,29.12,22.00,0.00
"Sherbrooke, Quebec","Possession, cocaine",27.00,18.72,23.00,0.00
"Sherbrooke, Quebec","Total other violations causing death",0,0,0,0
"Sherbrooke, Quebec","Driving while prohibited",15.00,10.40,13.00,0.00
"Sherbrooke, Quebec","Total other violent violations",22.00,15.25,8.00,1.00
"Sherbrooke, Quebec","Breaking and entering",2053.00,1423.44,98.00,41.00
"Sherbrooke, Quebec","Forcible confinement or kidnapping",17.00,11.79,20.00,0.00
"Sherbrooke, Quebec","Fail to appear",0,0,0,0
"Sherbrooke, Quebec","Impaired operation, failure to provide breath sample",19.00,13.17,18.00,0.00
"Sherbrooke, Quebec","Shoplifting $5,000 or under",331.00,229.50,131.00,15.00
"Sherbrooke, Quebec","Total Criminal Code traffic violations",335.00,232.27,290.00,0.00
"Sherbrooke, Quebec","Assault, level 3, aggravated",4.00,2.77,2.00,0.00
"Sherbrooke, Quebec","Total Federal Statute violations",412.00,285.66,200.00,60.00
"Sherbrooke, Quebec","Unauthorized importing or exporting of weapons",0,0,0,0
"Sherbrooke, Quebec","Invasion of privacy (Part VI Criminal Code)",2.00,1.39,0.00,0.00
"Sherbrooke, Quebec","Criminal negligence causing bodily harm",1.00,0.69,0.00,1.00
"Sherbrooke, Quebec","Cannabis, trafficking",97.00,67.25,60.00,29.00
"Sherbrooke, Quebec","Total robbery",108.00,74.88,38.00,13.00
"Sherbrooke, Quebec","Other violations against the administration of law and justice (Part IV Criminal Code)",31.00,21.49,6.00,1.00
"Sherbrooke, Quebec","Cannabis, production",32.00,22.19,13.00,0.00
"Sherbrooke, Quebec","Indecent/Harassing communications",28.00,19.41,7.00,0.00
"Sherbrooke, Quebec","Unlawfully causing bodily harm",0,0,0,0
"Sherbrooke, Quebec","Assault, level 2, weapon or bodily harm",63.00,43.68,31.00,6.00
"Sherbrooke, Quebec","Murder, second degree",0,0,0,0
"Sherbrooke, Quebec","Fail to comply with order",374.00,259.31,158.00,11.00
"Sherbrooke, Quebec","Breach of probation",298.00,206.62,29.00,12.00
"Sherbrooke, Quebec","Other sexual violations",17.00,11.79,4.00,1.00
"Sherbrooke, Quebec","Obstruct public or peace officer",12.00,8.32,7.00,1.00
"Sherbrooke, Quebec","Shoplifting over $5,000",2.00,1.39,0.00,0.00
"Sherbrooke, Quebec","Mischief",1137.00,788.34,41.00,11.00
"Sherbrooke, Quebec","Total violent Criminal Code violations",1011.00,700.97,410.00,70.00
"Sherbrooke, Quebec","Total theft of motor vehicle",1203.00,834.10,66.00,10.00
"Sherbrooke, Quebec","Sexual interference",0,0,0,0
"Sherbrooke, Quebec","Dangerous operation evading police, causing bodily harm",0.00,0.00,0.00,0.00
"Sherbrooke, Quebec","Arson",77.00,53.39,3.00,2.00
"Sherbrooke, Quebec","Obtains or communicates with a person under age 18 for purpose of sex",0,0,0,0
"Sherbrooke, Quebec","Other Controlled Drugs and Substances Act, possession",9.00,6.24,3.00,2.00
"Sherbrooke, Quebec","Dangerous operation, causing death",0,0,0,0
"Sherbrooke, Quebec","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",1.00,0.69,0.00,0.00
"Sherbrooke, Quebec","Dangerous operation evading police, causing death",0,0,0,0
"Sherbrooke, Quebec","Offensive weapons, restricted",0,0,0,0
"Sherbrooke, Quebec","Total weapons violations",12.00,8.32,4.00,0.00
"Sherbrooke, Quebec","Total cocaine, trafficking, production or distribution",31.00,21.49,28.00,0.00
"Sherbrooke, Quebec","Theft over $5,000 from a motor vehicle",23.00,15.95,0.00,1.00
"Sherbrooke, Quebec","Child pornography",0,0,0,0
"Sherbrooke, Quebec","Total theft over $5,000 (non-motor vehicle)",99.00,68.64,7.00,2.00
"Sherbrooke, Quebec","Heroin, importation and exportation",0,0,0,0
"Sherbrooke, Quebec","Other federal statutes",2.00,1.39,0.00,0.00
"Sherbrooke, Quebec","Pointing a firearm",2.00,1.39,2.00,0.00
"Sherbrooke, Quebec","Excise Act",7.00,4.85,0.00,0.00
"Sherbrooke, Quebec","Dangerous operation of motor vehicle, vessel or aircraft",3.00,2.08,1.00,0.00
"Edmonton, Alberta","Total other violations",1094.00,112.65,452.00,111.00
"Edmonton, Alberta","Total property crime violations",59166.00,6092.10,6596.00,2268.00
"Edmonton, Alberta","Counterfeiting",41.00,4.22,35.00,7.00
"Edmonton, Alberta","Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",1.00,0.10,0.00,0.00
"Edmonton, Alberta","Procuring",5.00,0.51,1.00,0.00
"Edmonton, Alberta","Total theft under $5,000 (non-motor vehicle)",24098.00,2481.28,2411.00,824.00
"Edmonton, Alberta","Extortion",37.00,3.81,12.00,7.00
"Edmonton, Alberta","Other Controlled Drugs and Substances Act, trafficking",140.00,14.42,152.00,20.00
"Edmonton, Alberta","Total, possession, other Controlled Drugs and Substances Act drugs",127.00,13.08,85.00,14.00
"Edmonton, Alberta","Infanticide",0,0,0,0
"Edmonton, Alberta","Total forcible confinement or kidnapping",134.00,13.80,101.00,22.00
"Edmonton, Alberta","Total, all Criminal Code violations (excluding traffic)",86694.00,8926.56,20644.00,4974.00
"Edmonton, Alberta","Impaired operation, failure to provide blood sample",4.00,0.41,2.00,0.00
"Edmonton, Alberta","Youth Criminal Justice Act",268.00,27.59,18.00,70.00
"Edmonton, Alberta","Intimidation of a justice system participant or a journalist",0.00,0.00,0,0
"Edmonton, Alberta","Instruct offence for criminal organization",0,0,0,0
"Edmonton, Alberta","Impaired operation of motor vehicle, vessel or aircraft",2540.00,261.53,2361.00,0.00
"Edmonton, Alberta","Offences against public order (Part II Criminal Code)",26.00,2.68,13.00,3.00
"Edmonton, Alberta","Disorderly houses, gaming and betting",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Conspire to commit murder",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Total abduction",12.00,1.24,5.00,0.00
"Edmonton, Alberta","Abduction under the age 14, not parent or guardian",3.00,0.31,0.00,0.00
"Edmonton, Alberta","Trespass at night",101.00,10.40,15.00,15.00
"Edmonton, Alberta","Competition Act",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Total Immigration and Refugee Protection Act",28.00,2.88,5.00,0.00
"Edmonton, Alberta","Other violations related to gaming and betting",5.00,0.51,2.00,0.00
"Edmonton, Alberta","Theft over $5,000",344.00,35.42,73.00,2.00
"Edmonton, Alberta","Firearms documentation or administration",18.00,1.85,1.00,0.00
"Edmonton, Alberta","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Total firearms, use of, discharge, pointing",32.00,3.29,16.00,3.00
"Edmonton, Alberta","Participate in activity of terrorist group",0,0,0,0
"Edmonton, Alberta","Other assaults",158.00,16.27,116.00,10.00
"Edmonton, Alberta","Customs Act",4.00,0.41,0.00,0.00
"Edmonton, Alberta","Total possession of stolen property",1612.00,165.98,1131.00,434.00
"Edmonton, Alberta","Disturb the peace",1955.00,201.30,181.00,28.00
"Edmonton, Alberta","Total drug violations",1645.00,169.38,1352.00,284.00
"Edmonton, Alberta","Possession, cannabis",648.00,66.72,334.00,105.00
"Edmonton, Alberta","Impaired operation, causing bodily harm",33.00,3.40,32.00,0.00
"Edmonton, Alberta","Total prostitution",868.00,89.37,530.00,1.00
"Edmonton, Alberta","Attempted murder",12.00,1.24,6.00,1.00
"Edmonton, Alberta","Total other assaults",209.00,21.52,149.00,20.00
"Edmonton, Alberta","Weapons trafficking",4.00,0.41,2.00,1.00
"Edmonton, Alberta","Offences against the person and reputation (Part VIII Criminal Code)",72.00,7.41,0.00,0.00
"Edmonton, Alberta","Canada Health Act",11.00,1.13,13.00,0.00
"Edmonton, Alberta","Unsafe storage of firearms",59.00,6.08,17.00,1.00
"Edmonton, Alberta","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",11.00,1.13,0.00,1.00
"Edmonton, Alberta","Cannabis, importation and exportation",1.00,0.10,0.00,0.00
"Edmonton, Alberta","Heroin, trafficking",9.00,0.93,8.00,0.00
"Edmonton, Alberta","Total fail to stop or remain",60.00,6.18,49.00,0.00
"Edmonton, Alberta","Weapons possession contrary to order",12.00,1.24,14.00,0.00
"Edmonton, Alberta","Corrupting morals",11.00,1.13,6.00,0.00
"Edmonton, Alberta","Dangerous operation of motor vehicle evading police",111.00,11.43,101.00,0.00
"Edmonton, Alberta","Proceeds of crime (Part XII.2 Criminal Code)",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Canada Shipping Act",2.00,0.21,0.00,0.00
"Edmonton, Alberta","Other prostitution",861.00,88.65,529.00,1.00
"Edmonton, Alberta","Total breaking and entering",8425.00,867.49,678.00,351.00
"Edmonton, Alberta","Sexual assault, level 1",768.00,79.08,196.00,46.00
"Edmonton, Alberta","Murder, first degree",8.00,0.82,5.00,0.00
"Edmonton, Alberta","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Prisoner unlawfully at large",392.00,40.36,331.00,52.00
"Edmonton, Alberta","Firearm transfers or serial numbers",0.00,0.00,0.00,0.00
"Edmonton, Alberta","Abduction under age 14, by parent or guardian",2.00,0.21,1.00,0.00
"Edmonton, Alberta","Arson, disregard for human life",0.00,0.00,0.00,0.00
