"Sudbury, Ontario","Offensive weapons, explosives",1.00,0.61,1.00,0.00,1.00
"Sudbury, Ontario","Methylenedioxyamphetamine (ecstasy), possession",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total other violations causing death",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Failure to comply or refusal (drugs)",..,..,..,..,..
"Sudbury, Ontario","Mischief to religious property motivated by hate",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Abduction under the age 14, not parent or guardian",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Cocaine, importation and exportation",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Breach of probation",180.00,109.54,161.00,1.00,162.00
"Sudbury, Ontario","Total other Criminal Code violations",1192.00,725.40,928.00,204.00,1132.00
"Sudbury, Ontario","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",5.00,3.04,0.00,0.00,0.00
"Sudbury, Ontario","Excise Act",1.00,0.61,0.00,0.00,0.00
"Sudbury, Ontario","Other violent violations",7.00,4.26,6.00,0.00,6.00
"Sudbury, Ontario","Impaired operation (drugs), causing bodily harm",..,..,..,..,..
"Sudbury, Ontario","Obtains or communicates with a person under age 18 for purpose of sex",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Disturb the peace",18.00,10.95,9.00,4.00,13.00
"Sudbury, Ontario","Cannabis, trafficking",53.00,32.25,69.00,13.00,82.00
"Sudbury, Ontario","Anal intercourse",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Methamphetamines (crystal meth), production",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Removal of children from Canada",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Offensive weapons, restricted",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total firearms, use of, discharge, pointing",1.00,0.61,0.00,1.00,1.00
"Sudbury, Ontario","Total cocaine, trafficking, production or distribution",91.00,55.38,211.00,7.00,218.00
"Sudbury, Ontario","Pointing a firearm",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Escape or helps to escape from lawful custody",3.00,1.83,1.00,2.00,3.00
"Sudbury, Ontario","Canada Health Act",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Methamphetamines (crystal meth), trafficking",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Other federal statutes",4.00,2.43,0.00,0.00,0.00
"Sudbury, Ontario","Impaired operation, failure to provide blood sample",1.00,0.61,1.00,0.00,1.00
"Sudbury, Ontario","Uttering threats",264.00,160.66,89.00,30.00,119.00
"Sudbury, Ontario","Discharge firearm with intent",1.00,0.61,0.00,1.00,1.00
"Sudbury, Ontario","Heroin, importation and exportation",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Indecent/Harassing communications",8.00,4.87,0.00,0.00,0.00
"Sudbury, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",60.00,36.51,50.00,5.00,55.00
"Sudbury, Ontario","Total Immigration and Refugee Protection Act",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Proceeds of crime (Part XII.2 Criminal Code)",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total other Criminal Code traffic violations",116.00,70.59,101.00,7.00,108.00
"Sudbury, Ontario","Dangerous operation causing death while street racing",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total cannabis, trafficking, production or distribution",63.00,38.34,77.00,14.00,91.00
"Sudbury, Ontario","Other violations against the administration of law and justice (Part IV Criminal Code)",35.00,21.30,17.00,4.00,21.00
"Sudbury, Ontario","Offences against rights of property (Part IX Criminal Code)",6.00,3.65,4.00,4.00,8.00
"Sudbury, Ontario","Forcible confinement",..,..,..,..,..
"Sudbury, Ontario","Firearm transfers or serial numbers",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Methylenedioxyamphetamine (ecstasy), trafficking",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Theft $5,000 or under",1131.00,688.27,70.00,16.00,86.00
"Sudbury, Ontario","Impaired operation, causing death",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Abduction under age 14, by parent or guardian",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Theft $5,000 or under from a motor vehicle",1011.00,615.25,6.00,7.00,13.00
"Sudbury, Ontario","Breaking and entering",946.00,575.69,85.00,39.00,124.00
"Sudbury, Ontario","All other Criminal Code (includes Part XII.1 Criminal Code)",3.00,1.83,3.00,0.00,3.00
"Sudbury, Ontario","Total assaults against a peace officer",71.00,43.21,46.00,17.00,63.00
"Sudbury, Ontario","Extortion",6.00,3.65,6.00,0.00,6.00
"Sudbury, Ontario","Driving while prohibited",31.00,18.87,27.00,0.00,27.00
"Sudbury, Ontario","Cocaine, production",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Youth Criminal Justice Act",107.00,65.12,4.00,100.00,104.00
"Sudbury, Ontario","Other assaults",19.00,11.56,7.00,2.00,9.00
"Sudbury, Ontario","Other Controlled Drugs and Substances Act, trafficking",24.00,14.61,48.00,3.00,51.00
"Sudbury, Ontario","Manslaughter",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Gaming house",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Fail to comply with order",500.00,304.28,367.00,132.00,499.00
"Sudbury, Ontario","Assault, level 1",761.00,463.11,320.00,105.00,425.00
"Sudbury, Ontario","Failure to provide blood sample (drugs)",..,..,..,..,..
"Sudbury, Ontario","Voyeurism",2.00,1.22,0.00,0.00,0.00
"Sudbury, Ontario","Forcible confinement or kidnapping",23.00,14.00,19.00,2.00,21.00
"Sudbury, Ontario","Break and enter to steal a firearm from a motor vehicle",..,..,..,..,..
"Sudbury, Ontario","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Abduction under the age 16",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Cocaine, trafficking",91.00,55.38,211.00,7.00,218.00
"Sudbury, Ontario","Child pornography",14.00,8.52,7.00,0.00,7.00
"Sudbury, Ontario","Total, all violations",9965.00,6064.24,3296.00,905.00,4201.00
"Sudbury, Ontario","Total, possession, other Controlled Drugs and Substances Act drugs",41.00,24.95,47.00,2.00,49.00
"Sudbury, Ontario","Methamphetamines (crystal meth), possession",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Intimidation of a justice system participant or a journalist",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Possession of weapons",67.00,40.77,54.00,15.00,69.00
"Sudbury, Ontario","Dangerous operation, causing bodily harm",4.00,2.43,4.00,0.00,4.00
"Sudbury, Ontario","Unauthorized importing or exporting of weapons",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Infanticide",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total Criminal Code traffic violations",324.00,197.17,304.00,7.00,311.00
"Sudbury, Ontario","Luring a child via a computer",1.00,0.61,0.00,0.00,0.00
"Sudbury, Ontario","Harbour or conceal terrorist",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Competition Act",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Possession, cannabis",187.00,113.80,122.00,21.00,143.00
"Sudbury, Ontario","Total robbery",132.00,80.33,47.00,29.00,76.00
"Sudbury, Ontario","Arson",66.00,40.16,4.00,12.00,16.00
"Sudbury, Ontario","Unauthorized recording of a movie",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total impaired driving",208.00,126.58,203.00,0.00,203.00
"Sudbury, Ontario","Heroin, production",..,..,..,..,..
"Sudbury, Ontario","Dangerous operation causing bodily harm while street racing",0.00,0.00,0.00,0.00,0.00
"Sudbury, Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",24.00,14.61,48.00,3.00,51.00
"Sudbury, Ontario","Weapons possession contrary to order",8.00,4.87,16.00,0.00,16.00
