"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Quebec","Other assaults",276.00,3.66,103.00,15.00
"Quebec","Total breaking and entering",65151.00,864.54,4020.00,1169.00
"Quebec","Robbery",7680.00,101.91,1801.00,419.00
"Quebec","Driving while prohibited",1285.00,17.05,1011.00,0.00
"Quebec","Weapons trafficking",35.00,0.46,11.00,0.00
"Quebec","Trespass at night",250.00,3.32,69.00,9.00
"Quebec","Methamphetamines (crystal meth), trafficking",0,0,0,0
"Quebec","Breach of probation",10140.00,134.56,4268.00,288.00
"Quebec","Disorderly houses, gaming and betting",0,0.00,0,0
"Quebec","Weapons possession contrary to order",43.00,0.57,31.00,0.00
"Quebec","Voyeurism",0,0.00,0,0
"Quebec","Indecent/Harassing communications",2192.00,29.09,259.00,8.00
"Quebec","Total other Federal Statutes",2651.00,35.18,742.00,7.00
"Quebec","Total theft of motor vehicle",39107.00,518.94,1974.00,567.00
"Quebec","Betting house",0,0.00,0,0
"Quebec","Total violent Criminal Code violations",80609.00,1069.66,30027.00,3581.00
"Quebec","Freezing of property, disclosure or audit",0,0.00,0,0
"Quebec","Total, all Criminal Code violations (including traffic)",437099.00,5800.20,91435.00,8599.00
"Quebec","Invitation to sexual touching",0.00,0.00,0.00,0.00
"Quebec","Property or service for terrorist activity",0.00,0.00,0.00,0.00
"Quebec","Offences against the person and reputation (Part VIII Criminal Code)",47.00,0.62,7.00,0.00
"Quebec","Criminal negligence causing bodily harm",36.00,0.48,12.00,0.00
"Quebec","Corrupting morals",25.00,0.33,10.00,0.00
"Quebec","Theft $5,000 or under",59261.00,786.38,2989.00,468.00
"Quebec","Living off the avails of prostitution of a person under age 18",7.00,0.09,0.00,0.00
"Quebec","Other violent violations",67.00,0.89,22.00,2.00
"Quebec","Firearms documentation or administration",68.00,0.90,26.00,2.00
"Quebec","Offensive weapons, explosives",30.00,0.40,12.00,1.00
"Quebec","Total cocaine, trafficking, production or distribution",1184.00,15.71,1045.00,40.00
"Quebec","Total administration of justice violations",24158.00,320.57,12358.00,836.00
"Quebec","Offensive weapons, prohibited",10.00,0.13,5.00,1.00
"Quebec","Assault, level 3, aggravated",275.00,3.65,186.00,24.00
"Quebec","Theft $5,000 or under from a motor vehicle",38151.00,506.25,764.00,196.00
"Quebec","Manslaughter",10.00,0.13,9.00,0.00
"Quebec","Youth Criminal Justice Act",1229.00,16.31,237.00,360.00
"Quebec","Using firearm in commission of offence",43.00,0.57,14.00,3.00
"Quebec","Total Federal Statute violations",24681.00,327.51,10629.00,1828.00
"Quebec","Infanticide",0,0.00,0,0
"Quebec","National Defence Act",0.00,0.00,0.00,0.00
"Quebec","Customs Act",1316.00,17.46,11.00,0.00
"Quebec","Fail to appear",184.00,2.44,106.00,6.00
"Quebec","Sexual assault, level 1",4118.00,54.64,951.00,269.00
"Quebec","Total sexual violations against children",3.00,0.04,0.00,0.00
"Quebec","All other Criminal Code (includes Part XII.1 Criminal Code)",180.00,2.39,46.00,3.00
"Quebec","Assault, level 2, weapon or bodily harm",9362.00,124.23,4399.00,645.00
"Quebec","Arson",3478.00,46.15,208.00,67.00
"Quebec","Sexual exploitation",0.00,0.00,0.00,0.00
"Quebec","Discharge firearm with intent",32.00,0.42,13.00,0.00
"Quebec","Offences against public order (Part II Criminal Code)",592.00,7.86,111.00,6.00
"Quebec","Other sexual violations",995.00,13.20,241.00,51.00
"Quebec","Offences against rights of property (Part IX Criminal Code)",304.00,4.03,233.00,50.00
"Quebec","Bawdy house",41.00,0.54,78.00,0.00
"Quebec","Sexual assault, level 2, weapon or bodily harm",89.00,1.18,25.00,5.00
"Quebec","Total firearms, use of, discharge, pointing",234.00,3.11,96.00,10.00
"Quebec","Total other violations causing death",28.00,0.37,6.00,1.00
"Quebec","Instruct offence for criminal organization",0,0.00,0,0
"Quebec","Corrupting morals of a child",0,0,0,0
"Quebec","Dangerous operation, causing bodily harm",129.00,1.71,89.00,0.00
"Quebec","Dangerous operation evading police, causing death",1.00,0.01,0.00,0.00
"Quebec","Mischief",48057.00,637.71,2145.00,477.00
"Quebec","Indecent acts",785.00,10.42,203.00,2.00
"Quebec","Participate in activities of criminal organization",0,0.00,0,0
"Quebec","Criminal harassment",4678.00,62.08,1780.00,63.00
"Quebec","Incest",0,0,0,0
"Quebec","Other violations against the administration of law and justice (Part IV Criminal Code)",1181.00,15.67,427.00,34.00
"Quebec","Possession of weapons",641.00,8.51,358.00,44.00
"Quebec","Shoplifting $5,000 or under",14014.00,185.96,7322.00,563.00
"Quebec","Impaired operation, failure to provide blood sample",17.00,0.23,13.00,0.00
"Quebec","Firearm transfers or serial numbers",1.00,0.01,0.00,0.00
"Quebec","Cannabis, trafficking",2485.00,32.98,1861.00,461.00
"Quebec","Total property crime violations",293566.00,3895.55,25755.00,3899.00
"Quebec","Other federal statutes",606.00,8.04,414.00,6.00
"Quebec","Child pornography",127.00,1.69,42.00,5.00
"Quebec","Dangerous operation, causing death",20.00,0.27,14.00,0.00
"Quebec","Impaired operation, causing death",44.00,0.58,36.00,0.00
"Quebec","Other Controlled Drugs and Substances Act, importation and exportation",413.00,5.48,48.00,0.00
"Quebec","Other Criminal Code traffic violations",90.00,1.19,27.00,4.00
"Quebec","Bankruptcy Act",29.00,0.38,12.00,0.00
"Quebec","Prisoner unlawfully at large",322.00,4.27,288.00,4.00
"Quebec","Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",10.00,0.13,2.00,0.00
"Quebec","Total abduction",123.00,1.63,20.00,1.00
"Quebec","Offences relating to currency (Part XII Criminal Code)",236.00,3.13,11.00,2.00
"Quebec","Other Controlled Drugs and Substances Act, trafficking",836.00,11.09,677.00,93.00
"Quebec","Attempts, conspiracies, accessories (Part XIII Criminal Code)",155.00,2.06,136.00,31.00
"Quebec","Criminal negligence causing death",23.00,0.31,4.00,0.00
"Quebec","Possession, cocaine",1002.00,13.30,675.00,22.00
"Quebec","Dangerous operation of motor vehicle, vessel or aircraft",1013.00,13.44,597.00,0.00
"Quebec","Total cannabis, trafficking, production or distribution",5821.00,77.24,3079.00,485.00
"Quebec","Unauthorized importing or exporting of weapons",6.00,0.08,2.00,0.00
"Quebec","Other related violations causing death",5.00,0.07,2.00,1.00
"Quebec","Murder, first degree",75.00,1.00,53.00,3.00
"Quebec","Unlawfully causing bodily harm",184.00,2.44,99.00,15.00
"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",1312.00,17.41,783.00,93.00
"Quebec","Impaired operation of motor vehicle, vessel or aircraft",17181.00,227.99,15797.00,0.00
"Quebec","Canada Health Act",1.00,0.01,0.00,0.00
"Quebec","Heroin, possession",27.00,0.36,15.00,0.00
"Quebec","Extortion",482.00,6.40,200.00,30.00
"Quebec","Arson, disregard for human life",24.00,0.32,6.00,1.00
"Quebec","Firearms Act",90.00,1.19,33.00,0.00
"Quebec","Firearms and other offensive weapons (Part III Criminal Code)",25.00,0.33,15.00,1.00
"Quebec","Utter threats to property or animal",0,0,0,0
"Quebec","Abduction under the age 14 contravening a custody order",77.00,1.02,11.00,0.00
"Quebec","Total possession of stolen property",2895.00,38.42,1670.00,200.00
"Quebec","Total prostitution",1595.00,21.17,1050.00,6.00
"Quebec","Shoplifting over $5,000",63.00,0.84,22.00,0.00
"Quebec","Unsafe storage of firearms",163.00,2.16,105.00,2.00
"Quebec","Uttering threats",16225.00,215.30,5255.00,560.00
"Quebec","Fraud",18621.00,247.10,4263.00,167.00
"Quebec","Murder, second degree",26.00,0.35,25.00,0.00
"Quebec","Dangerous operation evading police, causing bodily harm",14.00,0.19,9.00,0.00
"Quebec","Excise Act",240.00,3.18,109.00,0.00
"Quebec","Total other Criminal Code violations",32419.00,430.19,16382.00,1115.00
"Quebec","Facilitate terrorist activity",0.00,0.00,0.00,0.00
"Quebec","Total weapons violations",1049.00,13.92,570.00,53.00
"Quebec","Theft over $5,000",3004.00,39.86,333.00,20.00
"Quebec","Anal intercourse",0,0.00,0,0
"Quebec","Proceeds of crime (Part XII.2 Criminal Code)",18.00,0.24,3.00,0.00
"Quebec","Cocaine, importation and exportation",132.00,1.75,19.00,0.00
"Quebec","Possession, cannabis",10161.00,134.83,3421.00,712.00
"Quebec","Competition Act",1.00,0.01,0.00,0.00
"Quebec","Impaired operation, failure to provide breath sample",652.00,8.65,635.00,0.00
"Quebec","Total other violent violations",1122.00,14.89,275.00,54.00
"Quebec","Pointing a firearm",159.00,2.11,69.00,7.00
"Quebec","Breaking and entering",65151.00,864.54,4020.00,1169.00
"Quebec","Procuring",15.00,0.20,22.00,0.00
"Quebec","Abduction under the age 14, not parent or guardian",23.00,0.31,2.00,0.00
"Quebec","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",64.00,0.85,10.00,0.00
"Quebec","Attempted murder",259.00,3.44,141.00,7.00
"Quebec","Fail to comply with order",12026.00,159.58,7154.00,373.00
"Quebec","Total Criminal Code traffic violations",30505.00,404.79,19271.00,4.00
"Quebec","Dangerous operation of motor vehicle evading police",449.00,5.96,257.00,0.00
"Quebec","Total other Criminal Code traffic violations",12167.00,161.45,2427.00,4.00
"Quebec","Sexual assault, level 3, aggravated",53.00,0.70,23.00,3.00
"Quebec","Sexual interference",0.00,0.00,0.00,0.00
"Quebec","Homicide",111.00,1.47,87.00,3.00
"Quebec","Assault, level 1",29421.00,390.41,12124.00,1235.00
"Quebec","Invasion of privacy (Part VI Criminal Code)",16.00,0.21,2.00,0.00
"Quebec","Counterfeiting",408.00,5.41,172.00,27.00
"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs",1321.00,17.53,647.00,109.00
"Quebec","Forcible confinement or kidnapping",1073.00,14.24,616.00,51.00
"Quebec","Commission or instructing to carry out terrorist activity",0,0.00,0,0
"Quebec","Cannabis, importation and exportation",156.00,2.07,29.00,0.00
"Quebec","Total drug violations",20801.00,276.02,9650.00,1461.00
"Quebec","Total assaults against a peace officer",2585.00,34.30,1569.00,163.00
"Quebec","Intimidation of a justice system participant or a journalist",22.00,0.29,1.00,0.00
"Quebec","Commit offence for criminal organization",0.00,0.00,0.00,0.00
"Quebec","Total robbery",7680.00,101.91,1801.00,419.00
