"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Barrie, Ontario","Attempts, conspiracies, accessories (Part XIII Criminal Code)",2.00,0.94,4.00,0.00
"Barrie, Ontario","Total Immigration and Refugee Protection Act",0.00,0.00,0.00,0.00
"Barrie, Ontario","Procuring",0.00,0.00,0.00,0.00
"Barrie, Ontario","Bankruptcy Act",2.00,0.94,0.00,0.00
"Barrie, Ontario","Break and enter to steal a firearm from a motor vehicle",2.00,0.94,0.00,0.00
"Barrie, Ontario","Heroin, trafficking",5.00,2.34,7.00,0.00
"Barrie, Ontario","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"Barrie, Ontario","Pointing a firearm",4.00,1.88,4.00,0.00
"Barrie, Ontario","Driving while prohibited",41.00,19.22,39.00,0.00
"Barrie, Ontario","Total other assaults",4.00,1.88,3.00,0.00
"Barrie, Ontario","Disorderly houses, gaming and betting",0.00,0.00,0.00,0.00
"Barrie, Ontario","Heroin, importation and exportation",0.00,0.00,0.00,0.00
"Barrie, Ontario","Intimidation of a justice system participant or a journalist",1.00,0.47,1.00,0.00
"Barrie, Ontario","Arson",10.00,4.69,0.00,4.00
"Barrie, Ontario","Other violations related to gaming and betting",1.00,0.47,0.00,0.00
"Barrie, Ontario","Hostage-taking",0.00,0.00,0.00,0.00
"Barrie, Ontario","Dangerous operation causing bodily harm while street racing",0.00,0.00,0.00,0.00
"Barrie, Ontario","Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to any punishment other than life",0.00,0.00,0.00,0.00
"Barrie, Ontario","Offences against rights of property (Part IX Criminal Code)",0.00,0.00,0.00,0.00
"Barrie, Ontario","Youth Criminal Justice Act",39.00,18.28,9.00,30.00
"Barrie, Ontario","Bestiality, commit or compel person",0.00,0.00,0.00,0.00
"Barrie, Ontario","Total commodification of sexual activity violations",0.00,0.00,0.00,0.00
"Barrie, Ontario","Criminal negligence causing death",0.00,0.00,0.00,0.00
"Barrie, Ontario","Impaired operation, failure to provide blood sample",0.00,0.00,0.00,0.00
"Barrie, Ontario","Other violations against the administration of law and justice (Part IV Criminal Code)",24.00,11.25,19.00,0.00
"Barrie, Ontario","Canada Health Act",0.00,0.00,0.00,0.00
"Barrie, Ontario","Breaking and entering",458.00,214.70,48.00,13.00
"Barrie, Ontario","Dangerous operation evading police, causing death",0.00,0.00,0.00,0.00
"Barrie, Ontario","Obtains or communicates with a person under age 18 for purpose of sex",0.00,0.00,0.00,0.00
"Barrie, Ontario","Parent or guardian procuring sexual activity",0.00,0.00,0.00,0.00
"Barrie, Ontario","Instruct offence for criminal organization",1.00,0.47,0.00,0.00
"Barrie, Ontario","Manslaughter",1.00,0.47,5.00,0.00
"Barrie, Ontario","Identity theft",6.00,2.81,0.00,0.00
"Barrie, Ontario","Failure to provide blood sample (drugs)",0.00,0.00,0.00,0.00
"Barrie, Ontario","Causing bodily harm by criminal negligence while street racing",0.00,0.00,0.00,0.00
"Barrie, Ontario","Homicide",3.00,1.41,7.00,0.00
"Barrie, Ontario","Fraud",612.00,286.89,113.00,2.00
"Barrie, Ontario","Other sexual violations",0.00,0.00,0.00,0.00
"Barrie, Ontario","Other Controlled Drugs and Substances Act, possession",34.00,15.94,10.00,3.00
"Barrie, Ontario","Luring a child via a computer",10.00,4.69,3.00,0.00
"Barrie, Ontario","Trafficking in persons",2.00,0.94,1.00,0.00
"Barrie, Ontario","Other federal statutes",1.00,0.47,0.00,0.00
"Barrie, Ontario","Obstruct public or peace officer",31.00,14.53,32.00,0.00
"Barrie, Ontario","Other Criminal Code traffic violations",0.00,0.00,0.00,0.00
"Barrie, Ontario","Total administration of justice violations",846.00,396.58,713.00,54.00
"Barrie, Ontario","Advertising sexual services",0.00,0.00,0.00,0.00
"Barrie, Ontario","Total, possession, other Controlled Drugs and Substances Act drugs",46.00,21.56,23.00,4.00
"Barrie, Ontario","Infanticide",0.00,0.00,0.00,0.00
"Barrie, Ontario","Child pornography",16.00,7.50,8.00,0.00
"Barrie, Ontario","Impaired operation of motor vehicle, vessel or aircraft",275.00,128.91,249.00,0.00
"Barrie, Ontario","Unauthorized importing or exporting of weapons",4.00,1.88,0.00,0.00
"Barrie, Ontario","Total breaking and entering",464.00,217.51,49.00,13.00
"Barrie, Ontario","Escape or helps to escape from lawful custody",2.00,0.94,1.00,1.00
"Barrie, Ontario","Offences relating to currency (Part XII Criminal Code)",0.00,0.00,0.00,0.00
"Barrie, Ontario","Sexual exploitation",1.00,0.47,0.00,0.00
"Barrie, Ontario","Abduction under the age 14, not parent or guardian",1.00,0.47,0.00,0.00
"Barrie, Ontario","Nonconsensual distribution of intimate images",1.00,0.47,0.00,0.00
"Barrie, Ontario","Total mischief",983.00,460.80,133.00,22.00
"Barrie, Ontario","Leaving Canada to commit offence that is terrorist activity",0.00,0.00,0.00,0.00
"Barrie, Ontario","Mischief relating to war memorials",0.00,0.00,0.00,0.00
"Barrie, Ontario","Removal of children from Canada",0.00,0.00,0.00,0.00
"Barrie, Ontario","Obtaining sexual services for consideration from person under 18 years",0.00,0.00,0.00,0.00
"Barrie, Ontario","Other violent violations",7.00,3.28,2.00,0.00
"Barrie, Ontario","Dangerous operation evading police, causing bodily harm",1.00,0.47,1.00,0.00
"Barrie, Ontario","Making, or distribution of child pornography",0.00,0.00,0.00,0.00
"Barrie, Ontario","Cannabis, importation and exportation",0.00,0.00,0.00,0.00
"Barrie, Ontario","Offences against the person and reputation (Part VIII Criminal Code)",3.00,1.41,1.00,0.00
"Barrie, Ontario","Concealing person who is likely to carry out terrorist activity",0.00,0.00,0.00,0.00
"Barrie, Ontario","Advocating/Promoting terrorism offence",0.00,0.00,0.00,0.00
"Barrie, Ontario","Participate in activity of terrorist group",0.00,0.00,0.00,0.00
"Barrie, Ontario","Methamphetamines (crystal meth), trafficking",1.00,0.47,0.00,2.00
"Barrie, Ontario","Recruitment of members by a criminal organization",0.00,0.00,0.00,0.00
"Barrie, Ontario","Other Controlled Drugs and Substances Act, trafficking",13.00,6.09,9.00,1.00
