"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"Quebec","Leaving Canada to commit offence that is terrorist activity",0.00,0.00,0.00,0.00
"Quebec","Cannabis, importation and exportation",15.00,0.18,6.00,0.00
"Quebec","Dangerous operation evading police, causing bodily harm",14.00,0.17,10.00,0.00
"Quebec","Other Controlled Drugs and Substances Act, possession",1825.00,22.38,1130.00,115.00
"Quebec","Possession, cocaine",1062.00,13.02,819.00,31.00
"Quebec","Other assaults",105.00,1.29,28.00,5.00
"Quebec","Other sexual violations",1.00,0.01,2.00,0.00
"Quebec","Other Controlled Drugs and Substances Act, trafficking",780.00,9.56,927.00,59.00
"Quebec","Total Criminal Code traffic violations",42311.00,518.85,16967.00,203.00
"Quebec","Using firearm in commission of offence",66.00,0.81,47.00,3.00
"Quebec","Unlawfully causing bodily harm",153.00,1.88,65.00,15.00
"Quebec","Total other Criminal Code traffic violations",26736.00,327.86,2663.00,104.00
"Quebec","Breach of probation",13830.00,169.59,5417.00,541.00
"Quebec","Impaired operation (drugs) vehicle, vessel, aircraft",470.00,5.76,365.00,7.00
"Quebec","Murder, first degree",37.00,0.45,21.00,3.00
"Quebec","Abduction under the age 14, not parent or guardian",20.00,0.25,5.00,0.00
"Quebec","Total, all Criminal Code violations (including traffic)",357150.00,4379.65,87850.00,7515.00
"Quebec","Total assaults against a peace officer",2676.00,32.82,1463.00,111.00
"Quebec","Total fail to stop or remain",23928.00,293.42,742.00,34.00
"Quebec","Total other Federal Statutes",1976.00,24.23,887.00,20.00
"Quebec","Attempted murder",161.00,1.97,89.00,2.00
"Quebec","Weapons possession contrary to order",196.00,2.40,116.00,5.00
"Quebec","Sexual Exploitation of a person with a disability",3.00,0.04,2.00,0.00
"Quebec","Mischief",34094.00,418.09,1788.00,371.00
"Quebec","Dangerous operation, causing bodily harm",113.00,1.39,93.00,3.00
"Quebec","Hostage-taking",1.00,0.01,1.00,0.00
"Quebec","Impaired operation (drugs), causing bodily harm",5.00,0.06,2.00,0.00
"Quebec","Corrupting morals",22.00,0.27,5.00,0.00
"Quebec","Offensive weapons, prohibited",0.00,0.00,0.00,0.00
"Quebec","Leaving Canada to facilitate terrorist activity",0.00,0.00,0.00,0.00
"Quebec","Total sexual violations against children",1441.00,17.67,272.00,99.00
"Quebec","Criminal negligence causing death",69.00,0.85,5.00,0.00
"Quebec","Total other Criminal Code violations",44184.00,541.82,21719.00,1323.00
"Quebec","Methamphetamines (crystal meth), possession",1285.00,15.76,955.00,52.00
"Quebec","Commission or instructing to carry out terrorist activity",1.00,0.01,0.00,0.00
"Quebec","Mischief to religious property motivated by hate",14.00,0.17,0.00,0.00
"Quebec","Receive material benefit from sexual services provided by a person under 18 years",0.00,0.00,0.00,0.00
"Quebec","Robbery to steal a firearm",3.00,0.04,1.00,0.00
"Quebec","Parent or guardian procuring sexual activity: person procured under the age of 16 years",0,0,0,0
"Quebec","Methamphetamines (crystal meth), production",6.00,0.07,3.00,0.00
"Quebec","Other violent violations",51.00,0.63,25.00,4.00
"Quebec","Kidnapping",79.00,0.97,56.00,4.00
"Quebec","Total possession of stolen property",1754.00,21.51,763.00,97.00
"Quebec","Making, or distribution of child pornography",0.00,0.00,0.00,0.00
"Quebec","Obtaining sexual services for consideration from person under 18 years",0.00,0.00,0.00,0.00
"Quebec","Total other violations causing death",70.00,0.86,5.00,0.00
"Quebec","Discharge firearm with intent",101.00,1.24,44.00,8.00
"Quebec","Total impaired driving",15575.00,190.99,14304.00,99.00
"Quebec","Impaired operation (drugs), causing death",0.00,0.00,0.00,0.00
"Quebec","Total firearms, use of, discharge, pointing",358.00,4.39,154.00,18.00
"Quebec","Total cocaine, trafficking, production or distribution",1061.00,13.01,1255.00,24.00
"Quebec","Concealing person who is likely to carry out terrorist activity",0.00,0.00,0.00,0.00
"Quebec","Freezing of property, disclosure or audit",0.00,0.00,0.00,0.00
"Quebec","Parent or guardian procuring sexual activity",0.00,0.00,0.00,0.00
"Quebec","Total violent Criminal Code violations",79882.00,979.57,27606.00,3297.00
"Quebec","Proceeds of crime (Part XII.2 Criminal Code)",33.00,0.40,4.00,0.00
"Quebec","Offensive weapons, explosives",33.00,0.40,12.00,2.00
"Quebec","Other federal statutes",1480.00,18.15,663.00,19.00
"Quebec","Possession, cannabis",11890.00,145.80,4702.00,970.00
"Quebec","Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to any punishment other than life",0.00,0.00,0.00,0.00
"Quebec","Fraud",12808.00,157.06,2759.00,95.00
"Quebec","Weapons trafficking",27.00,0.33,23.00,0.00
"Quebec","Receive material benefit from sexual services",0.00,0.00,0.00,0.00
"Quebec","Total other violations",4182.00,51.28,1877.00,162.00
"Quebec","Total other assaults",330.00,4.05,123.00,21.00
"Quebec","Sexual assault, level 3, aggravated",17.00,0.21,4.00,1.00
"Quebec","Canada Health Act",4.00,0.05,1.00,0.00
"Quebec","Sexual assault, level 1",3831.00,46.98,960.00,212.00
"Quebec","Causing death by criminal negligence while street racing",1.00,0.01,1.00,0.00
"Quebec","Conspire to commit murder",13.00,0.16,6.00,3.00
"Quebec","Failure to provide blood sample (drugs)",1.00,0.01,1.00,0.00
"Quebec","Total prostitution",228.00,2.80,156.00,0.00
"Quebec","Sexual exploitation",20.00,0.25,4.00,0.00
"Quebec","Competition Act",0.00,0.00,0.00,0.00
"Quebec","Offences relating to currency (Part XII Criminal Code)",44.00,0.54,3.00,1.00
"Quebec","Public incitement of hatred",29.00,0.36,1.00,0.00
"Quebec","Anal intercourse",6.00,0.07,0.00,0.00
"Quebec","Total breaking and entering",39236.00,481.14,3268.00,729.00
"Quebec","Removal of children from Canada",0.00,0.00,0.00,0.00
"Quebec","Utter threats to property or animal",181.00,2.22,30.00,3.00
"Quebec","Escape or helps to escape from lawful custody",351.00,4.30,74.00,41.00
"Quebec","Total property crime violations",190773.00,2339.41,21558.00,2692.00
"Quebec","Dangerous operation of motor vehicle while street racing",12.00,0.15,6.00,0.00
"Quebec","Nonconsensual distribution of intimate images",0.00,0.00,0.00,0.00
"Quebec","Householder permitting prohibited sexual activity",0.00,0.00,0.00,0.00
"Quebec","Total administration of justice violations",36824.00,451.56,18303.00,1038.00
"Quebec","Theft over $5,000",2450.00,30.04,335.00,8.00
"Quebec","Bankruptcy Act",3.00,0.04,1.00,0.00
"Quebec","Total Immigration and Refugee Protection Act",106.00,1.30,37.00,1.00
"Quebec","Procuring - person under 18 years",0.00,0.00,0.00,0.00
"Quebec","Forcible confinement or kidnapping",1.00,0.01,0.00,0.00
"Quebec","Offences against the person and reputation (Part VIII Criminal Code)",67.00,0.82,2.00,0.00
"Quebec","Obstruct public or peace officer",1836.00,22.51,1050.00,90.00
"Quebec","Methylenedioxyamphetamine (ecstasy), importation and exportation",3.00,0.04,0.00,0.00
"Quebec","Canada Shipping Act",14.00,0.17,8.00,0.00
"Quebec","Methylenedioxyamphetamine (ecstasy), possession",81.00,0.99,49.00,7.00
"Quebec","Unsafe storage of firearms",276.00,3.38,168.00,1.00
"Quebec","Methylenedioxyamphetamine (ecstasy), trafficking",27.00,0.33,26.00,11.00
"Quebec","Assault, level 2, weapon or bodily harm",9594.00,117.65,4306.00,540.00
"Quebec","Breaking and entering",39061.00,479.00,3251.00,722.00
"Quebec","Abduction under the age 16",4.00,0.05,1.00,0.00
"Quebec","Trespass at night",285.00,3.49,40.00,11.00
"Quebec","Cannabis, production",1975.00,24.22,965.00,15.00
